INAME	GENE	CHR	SIMR_UP2_190FR	SIMR_UP2_244
iEx116I		0	1.65	0.66
iOx145I				0.76
iKx222I		0	0.26	3.27
YML022W	APT1	13	1.16	0.84
iDx093I		0	1.03	0.84
YGL185C		7	2.22	0.33
iDx159I		0	0.95	0.67
YGR268C		7	1.93	0.33
iNx188I		0	2	0.38
iJx265I		0	1.43	0.37
YCR011C	ADP1	3	0.57	2.22
iPx371I		0	0.93	0.84
YBR119W	MUD1	2	0.25	2.9
YLL065W	GIN11	12	0.79	1.99
YML023C		13	0.96	0.94
YDR302W		4	0.32	2.48
iPx437I		0	0.66	1.28
iLx514I		0	2.33	0.4
YLR148W	PEP3	12	0.68	1.26
YFR031C-A	RPL2A	6	0.77	0.84
YMR106C	YKU80	13	2.59	0.42
iPx103I		0	0.72	1.17
YNL314W	DAL82	14	0.77	1.15
iEx051I		0	1.41	0.66
YLR083C	EMP70	12	1.1	0.69
YHR160C	PEX18	8	0.79	1.03
iOx080I		15	0.92	0.55
YLL066C		12	1.54	0.81
YDL220C	CDC13	4	1.61	0.68
iEx117I		0	1.21	0.91
YLR149C		12	0.45	1.78
YDR303C		4	0.55	1.38
iOx146I		0	1.62	0.59
iKx223I		0	0.43	2.02
iGx300I		0	0.52	2
YNL315C	ATP11	14	0.89	0.93
YMR040W		13	1.54	0.57
YIL100W		9	1.37	0.49
iDx094I		0	0.74	
YGL186C		7	2.24	0.4
YBR054W	YRO2	2	0.81	1.19
iNx189I		0	0.73	1.18
iJx266I		0	0.79	0.62
iBx420I		0	0.79	1.17
YBL037W	APL3	2	0.43	1.49
iPx372I		0	1.64	0.45
YMR041C		13	1.68	0.64
YIL101C	XBP1	9	1.27	0.68
iPx438I		0	1.25	
iLx515I		0	0.85	1.23
iPx104I		0	1.56	0.52
iEx052I		0	2.11	0.39
YLR084C	RAX2	12	1.1	
YHR161C	YAP1801	8	1.24	
iOx081I		0	1.68	0.55
YLL067C		12	1.65	0.89
iEx118I		0	0.97	0.75
YGR269W		7	1.77	0.37
YDR304C	CYP5	4	1.55	0.49
YCR012W	PGK1	3	0.6	1.74
iOx147I		0	0.62	1.18
iKx224I		0	1.49	0.61
iGx301I		0	0.69	1.18
YNL316C	PHA2	14	0.36	
YML024W	RPS17A	13	1.32	0.69
iDx095I		0	1.87	0.4
YMR107W		13	2.37	0.37
YGL187C	COX4	7	1.78	0.44
iJx267I		0	0.59	1.71
iBx421I		0	1.33	0.59
YCR013C		3	0.51	1.93
YBL038W	MRPL16	2	1.56	0.47
iLx450I		12	2.03	0.45
iPx373I		0	1.49	0.48
iFx010I		0	1.08	1.1
YDL221W		4	1.54	0.74
YML025C		13	2.3	0.45
YIL102C		9	1.06	0.67
iPx439I		0	0.83	1.2
iLx516I		0	0.69	1.16
YNL250W	RAD50	14	0.91	1.01
iPx105I		16	1.13	1.04
iAx130I		0	2.16	0.66
iEx053I		0	1.26	0.5
YBL039C	URA7	2	1.37	0.68
YLR085C	ARP6	12	2.5	0.34
iOx082I		0	1.74	
YDL222C		4	1.41	0.79
iEx119I		0	0.99	0.72
YDR305C	HNT2	4	1.8	0.42
YNL251C	NRD1	14	1.15	0.63
iOx148I		0	0.57	1.23
iKx225I		0	2.03	0.37
iGx302I		0	0.68	1.17
YMR042W	ARG80	13	1.79	0.45
iDx096I		0	1.74	0.4
YMR108W	ILV2	13	2.01	0.45
YGL188C		7	1.42	
YBR056W		2	0.89	0.95
iJx268I		0	1.81	0.47
iBx422I		0	0.89	0.95
YCR014C	POL4	3	0.62	1.68
iPx374I		0	1.08	1.05
iLx451I		0	1.94	0.33
iFx011I		0	0.84	1.01
YHR162W		8	0.75	0.85
iPx040I		0	1.78	0.38
YML026C	RPS18B	13	1.05	0.67
iLx517I		0	0.45	1.5
iPx106I		0	0.94	0.81
YNL317W	PFS2	14	0.44	1.76
YBR057C	MUM2	2	0.43	1.56
iGx571I		0	0.67	
iEx054I		0	1.61	0.56
iAx131I		0	1.7	0.46
YDR240C	SNU56	4	1.91	0.4
iOx083I		0	2.01	0.47
iKx160I		0	0.64	1.22
YDL223C		4	1.56	0.84
YDR306C		4	1.72	0.42
YNL252C	MRPL17	14	1.45	0.75
iOx149I		0	0.46	2.4
iKx226I		0	1.06	0.7
iGx303I		0	0.59	1.72
YMR172C-A		13	2.18	0.37
YAL034W-A	MTW1	1	0.26	5.18
YNL318C	HXT14	14	0.59	1.49
YNR001C	CIT1	14	0.26	2.81
YIL103W		9	1.96	0.42
iDx097I		0	1.23	0.81
YMR109W	MYO5	13	0.36	1.87
YGL189C	RPS26A	7	1.48	0.62
iJx269I		0	1.08	0.79
iBx423I		0	0.35	3.19
YCR015C		3	1.26	1.06
iPx375I		16	0.59	
iLx452I		0	1.82	0.52
iFx012I		0	1.72	0.6
YLR086W	SMC4	12	0.68	0.99
YHR163W	SOL3	8	0.3	3.16
iPx041I		0	1.35	0.83
YIL104C		9	1.64	0.53
iLx518I		0	1.62	0.52
iPx107I		0	2.13	0.36
YBR058C	UBP14	2	0.93	0.71
iGx572I		0	0.96	0.86
iEx055I		0	1.84	0.48
iAx132I		0	1.94	0.48
YLR087C		12	0.51	
YHR164C	DNA2	8	0.53	1.27
iOx084I		0	1.69	0.61
iKx161I		0	0.38	1.99
YDL224C	WHI4	4	0.42	2.73
iKx227I		0	0.3	3.14
iGx304I		0	0.73	1.43
iMx410I		0	1.83	0.41
YMR044W		13	0.49	2.2
YNR002C	FUN34	14	0.51	2.01
iDx098I		0	0.46	2.69
YML027W	YOX1	13	0.39	2.68
iBx424I		0	0.63	1.61
YDR241W		4	1.21	0.74
iPx376I		0	0.89	1.1
iLx453I		0	2.23	0.29
iFx013I		0	1.67	0.51
YMR045C		13	0.72	1.85
iPx042I		0	1.66	0.5
YIL105C		9	0.97	0.88
iLx519I		0	1.21	0.77
YDR307W		4	0.8	1.42
YNL253W		14	1.42	0.66
iPx108I		0	1.94	0.42
YNL319W		14	0.59	1.36
YBR059C	AKL1	2	1.08	0.82
iGx573I		0	0.8	1.24
iEx056I		0	0.71	1.14
iAx133I		0	1.37	0.59
YHR165C	PRP8	8	0.95	
iOx085I		0	2.15	0.43
iKx162I		0	1.93	0.36
YDR308C	SRB7	4	0.57	1.83
YNL254C		14	1.94	0.43
YCR016W		3	0.54	1.84
iKx228I		0	0.32	2.23
iGx305I		0	0.98	0.96
iMx411I		0	1.22	0.7
YNR003C	RPC34	14	0.46	1.77
iDx099I		0	1.59	0.46
YML028W	TSA1	13	0.8	1.12
iBx425I		0	1.23	0.75
YCR017C		3	1.56	
YDR242W	AMD2	4	1.07	0.84
iPx377I		0	0.29	2.86
iLx454I		0	0.45	1.73
iFx014I		0	0.84	1.04
YLR088W	GAA1	12	1.21	1.02
YMR046C		13	1.78	0.77
YDL225W	SHS1	4	0.36	2.46
iPx043I		0	1.71	0.53
iLx120I		0	1.89	
iPx109I		0	1.85	0.43
YDL160C	DHH1	4	1.94	0.61
iAx134I		1	0.7	1.57
iGx574I		0	0.41	2.1
