NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YFR020W			0.13	0.17	7.42	4.4	0.16
YKL218C	SRY1		1.42	1.47	0.65	0.74	1.25
YNL104C	LEU4		0.63	0.65	1.86	1.65	0.75
YPR115W			1.41	1.82	0.59	0.59	1.32
YCL052C	PBN1		1.72	1.46	0.67	0.72	1.37
YJL195C			0.85	0.64	1.38	1.22	0.75
YDR360W			0.62		1.02		0.87
YER063W	THO1		1.11	1.16	1.03	1.09	1.3
YMR164C	MSS11		0.75	0.61	1.36	1.28	0.72
YOR092W	ECM3		0.69		1.92	1.63	0.69
YPR050C			0.93	1.04	1.03	1.02	1.09
YER129W	PAK1		0.79	0.69	1.55	1.35	0.78
YPL033C					0.57	0.75	1.54
YOR158W	PET123		1.06	0.93	1.1	0.98	1.14
YHR015W	MIP6		1.18		0.56	0.69	0.34
YER064C			0.91	0.91	1.2	0.82	1.15
YDR361C			0.91			0.92	0.53
YDL089W			1.22		0.62	0.59	1.34
YEL047C			1	0.85	1.05	1.02	1.05
YOR093C			1.13	1.06	0.99	1.1	0.94
YGL230C			1.13	1.29	0.65	0.79	1.03
YGR058W			0.85	0.81	1.24	1.08	0.79
YOR159C	SME1		1.15	1.24	0.94	1.1	0.63
YML081W			1.02	0.69	1.42	1.23	0.72
YHR016C	YSC84		1.59	1.65	0.59	0.88	1.38
YFR021W			0.89	1.01	1.01	0.99	0.92
YLR461W	PAU4		1.28		0.9	0.9	1.34
YFL004W			0.74	0.7	1.33	1.17	0.81
YBL095W			2.07	2.02	0.53	0.75	1.42
YPR116W			0.67		1.17	1.14	0.64
YCL053C			0.42	0.44	2.47	1.65	0.61
YJL196C	ELO1		1.01	1.16	0.93	1.14	0.85
YBR178W			1.25	1.59		0.64	1.42
YMR165C	SMP2		0.88	1.14	0.88	0.91	1.13
YDR427W	RPN9		1.29	1.28	0.82	0.72	1.23
YDL010W			2.13	2.15	0.44	0.48	2.47
YOL076W	MDM20		0.54	0.41	2.03	1.94	0.51
YKL153W			1.1	1.12	1.26	1.33	1.26
YBL096C			1.11	1.05	0.65	0.92	1.15
YKL219W	COS9		1.17	1.12	0.64	0.8	0.98
YBR179C	FZO1		1.06	0.92	1.08	0.95	0.93
YNL105W			1.11		0.8		1.15
YER065C	ICL1		1.03	1.07	0.82	0.83	1.1
YDR362C	TFC6		1.18	1.17	0.88	0.86	1.17
YCR070W			1.15	1.17	0.96	1.03	1.15
YEL048C			0.56	0.41	2.75	2.54	0.46
YDR428C			0.81	0.92	1.13	1.24	0.89
YDL011C			1.73	2.53	0.35	0.38	2.32
YOL077C			0.37	0.36	3.28	2.75	0.47
YGL231C			0.94	1.1	0.92	1.04	1.24
YGR059W	SPR3		0.91		0.66	0.88	1.01
YML082W			0.68	0.5	1.81	1.21	0.7
YFR022W			1.49		0.45	0.46	1.99
YLR462W			2.38	2.14	0.62	0.64	2.04
YFL005W	SEC4		1.76	1.76	0.56	0.76	1.46
YPR051W	MAK3		0.91	0.88	1.13	1.09	1.08
YNL106C	INP52		1.06	0.86	1.05	1.02	0.33
YPL034W			1.73	1.82	0.58	0.52	1.97
YCR071C	IMG2		0.93	0.99	1.16	1.11	1.12
YPR117W			1.33		0.87	0.86	0.88
YML083C			1.09	1.17	0.91	0.95	1.02
YIL160C	POT1		2.2	2.21	0.42	0.6	2.18
YMR166C			0.63	0.76	1.55	1.5	0.84
YLR463C			1.97	1.95	0.65	0.71	2
YOR094W	ARF3		0.7	0.66	1.73	1.22	0.84
YPR052C	NHP6A		0.8	0.88	1.67	1.67	0.86
YKL154W	SRP102		0.62	0.55	1.5	1.14	0.88
YPL035C			1.58	1.4	0.65	0.67	1.78
YNL040W			1.21	1.11	0.89	1.08	0.96
YHR017W	YSC83		1.04	1.1	0.99	0.97	1.13
YCRX02C			1.08	1.02	1.01	0.94	1.21
YOR095C	RKI1		0.24	0.25	4.61	3.23	0.3
YCL054W	SPB1		0.41	0.37	2.52	1.79	0.6
YDR429C	TIF35		0.55	0.52	2.17	1.99	0.66
YDL012C			0.7	0.88		1.4	0.76
YJL197W	UBP12		0.61	0.63	1.51	1.46	0.67
YKL155C			1.06	0.95	0.75	0.8	1.06
YHR018C	ARG4		3.15	2.77	0.43	0.66	1.65
YFR023W					0.29		1.84
YNL041C			1.16	0.94	1.01	1.03	0.99
YBR100W			0.9	0.93	0.97	0.9	1.08
YFL006W			1.03	0.98	1.03	0.68	1.5
YBL097W	BRN1		0.85	0.77	1.01	0.96	0.97
YCR072C			0.7	0.58	1.44	1.3	0.71
YPR118W			1.03	0.92	1.06	1.1	0.99
YAL060W			0.67	0.7	1.68	2.34	0.59
YER066W			1.25	1.25	0.77	0.8	
YDR363W	ESC2		1.52	1.28	0.7	0.81	1.3
YFR024C			0.81	0.91	1.14	1.06	0.82
YEL049W	PAU2		1.5		0.72	0.76	1.66
YBR101C			1.83	1.98	0.51	0.67	1.49
YPR053C			0.84	1.02	0.91	0.93	0.95
YOR350C	MNE1		1.29	1.39	0.74	0.88	1.01
YGL232W			0.92	1	1.1	1.3	0.86
YLR130C	ZRT2		1.64	1.57	0.79	0.7	1.84
YOL078W				1.02	0.97	0.97	0.99
YCRX03C			0.74				
YNL107W			1.27	1.28	0.59	0.79	1.32
YDR364C	CDC40		0.87	0.91	1.2	1.18	0.92
YCL055W	KAR4		1.86	1.99	0.46	0.42	2.37
YGR250C			2.54	3.25	0.4	0.42	2.56
YJL198W			0.36	0.28	3.34	3.1	0.36
YIL161W			1.4	1.25	0.68	0.77	1.28
