NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YJR052W	RAD7		1.08	1.17	0.65	0.74	1.07
YKR010C	TOF2		0.85	0.82	1.1	1	0.77
YNL213C			1.05	1.16	0.97	0.7	1.6
YDL198C	YHM1		0.59	0.64	1.67	1.23	0.67
YMR004W	MVP1		1.18	1.21	0.78	0.69	1.28
YLR301W			0.77	0.76	1.59	1.8	0.67
YGL084C			0.88	0.78	1.23	1.38	0.83
YPL207W			0.72	0.63	1.55	1.56	0.7
YBR286W	APE3		0.56	0.59	2.16	1.83	0.65
YMR273C	ZDS1		0.61	0.22	2.56	1.94	0.31
YIL078W	THS1		0.42	0.42	2.91	3.15	0.47
YJR119C			1.68	1.62	0.5	0.78	1.26
YPL142C			0.58	0.52	2.92	2.74	0.43
YDR201W	SPC19		0.8	0.74	1.22	1.07	1.01
YHR124W	NDT80		0.87	0.6	1.4	1.4	0.68
YLR302C			2.29	2.52	0.36	0.38	2.71
YDR470C			0.99	0.74	0.98	1.06	1.13
YIL079C			0.49	0.48	1.68	1.24	0.67
YBR019C	GAL10		1.23	1.81	0.65	0.71	1.27
YGR167W	CLC1		0.8	0.8	1.25	1.21	0.91
YOR268C					1.02	0.92	0.89
YDR202C			1.99	2.2	0.5	0.66	1.62
YJR053W	BFA1		0.94	0.8	1.06	0.88	0.74
YJL036W	SNX4		1.77	1.79	0.57	0.53	1.99
YKR011C			1.71	1.93	0.52	0.46	2.33
YDL199C			1.73	2.04	0.55	0.61	1.82
YMR005W	MPT1		1.19	1.12	0.99	0.98	1.12
YPL208W			0.7	0.69	1.5	1.81	0.58
YBR287W			1.66	1.57	0.7	0.7	1.6
YGR168C			1.63	1.65	0.69	0.67	1.69
YER173W	RAD24		1.2	1.28	0.84	0.76	1.27
YMR274C	RCE1		0.86				
YDR536W	STL1		1.3		0.56	0.52	1.85
YHL042W			0.8	0.95	1.01	1.02	0.76
YHR125W			0.4	0.4	2.75	1.48	0.42
YLR048W	RPS0B		0.11	0.1	12.98	13.09	0.12
YMR006C	PLB2		0.43	0.25	3.56	3.73	0.29
YPL209C							1.39
YBR288C	APM3		0.89	0.9	1.11	1.09	0.92
YNL214W	PEX17		1.16	1.05	0.72	0.83	1.22
YER174C	GRX4		1.79	1.72	0.63	0.92	1.14
YDR537C			1.95	2.26	0.44	0.56	1.79
YGL085W			1.14	1.3	0.75	0.84	1.29
YHR126C			1.32				
YLR049C			0.97	0.96	1.15	1.41	0.68
YJR054W			1.1		1.04	1.06	0.55
YKR012C			0.91	0.96	1.04	1.21	1.02
YJL037W			2.43		0.28	0.42	2.75
YPR160W	GPH1		1.2				0.98
YPL143W	RPL33A		0.1	0.09	8.98	10.18	0.12
YLR303W	MET17		3.59	3.15	0.37	0.27	4.6
YGR169C			0.81	0.82	1.13	0.96	0.78
YDR471W	RPL27B		0.17	0.18	6.63	6.52	0.2
YMR275C	BUL1		1.03	0.76	1.22	1.01	0.85
YHR060W	VMA22		0.71	0.74	1.09	1.03	0.77
YJL038C			4.35		0.2	0.26	5.21
YPR161C	SGV1		1.27	1.1	1.1	1.08	1.07
YDL120W	YFH1		2.01	2.34	0.48	0.44	2.32
YHL043W	ECM34		0.96	1.01		0.98	0.85
YDR203W			1.82		0.46		1.44
YOR269W	PAC1		0.48	0.5	1.6	1.4	0.55
YLR304C	ACO1		2.5	2.3	0.56	0.76	1.71
YNL215W			1.58	1.24	0.73	0.76	1.57
YER175C			3.34	3.59	0.32	0.47	2.39
YHR061C	GIC1		0.98	1.14	1	0.99	0.98
YGL086W	MAD1		0.99	0.94	0.99	1	0.99
YDL121C			0.7	0.72	1.33	1.3	0.84
YER087C-A	SBH1		0.53	0.58	1.88	1.67	0.63
YJR055W	HIT1		1.13		0.93		0.82
YIL001W			0.85	0.79	1.2	1.54	0.77
YPL144W	SNR17B		0.71	0.68	1.53	1.52	0.74
YMR007W			1	1.19	0.98	0.81	1.47
YGL087C	MMS2		1.53	1.76	0.74	0.68	1.86
YBR289W	SNF5		1.19	1.12	0.86	0.84	0.99
YFL050C	ALR2		0.5	0.45	1.95	1.85	0.39
YDR472W	TRS31		0.79	0.64	1.22	1.2	0.96
YJR056C			1.16	1.3	0.7	0.67	1.24
YJL039C	NUP192		0.85	0.71	1.23	1.36	0.81
YPR162C	ORC4		1.22	1.07	0.86	0.91	1.02
YDR538W	PAD1		1.74	2.33	0.51	0.6	1.36
YPL145C	KES1		0.39	0.34	2.96	2.4	0.38
YDR204W	COQ4		2.6	3.13	0.4	0.53	2.08
YIL002C	INP51		0.94	1.02	1.1	1.26	0.94
YHR127W	HSN1		1.17	1.36	0.69	0.76	1.05
YNL150W			1.06	0.92	1.22	0.91	1.45
YMR008C	PLB1		2.25	3.61	0.57	0.32	2.43
YLR305C	STT4		0.94	0.86	0.83	1.04	0.52
YKR013W	PRY2		1.2	1.09	1.28	1.24	0.79
YNL216W	RAP1		0.63	0.57	1.76	1.66	0.6
YDR473C	PRP3		1.39	1.35	0.68	0.71	1.25
YHR062C	RPP1		1.52	1.78	0.63	0.64	0.95
YNL151C	RPC31		0.63	1.18	1.42	1.01	0.89
YBR210W			1.05	1	1.11	0.9	1.2
YMR276W	DSK2		0.72	0.44	1.94	1.01	0.89
YKR014C	YPT52		1.81	1.7	0.48	0.54	1.67
YFL051C			0.45		1.83	1.74	0.47
YER176W	ECM32		0.94	0.76	1.13	1.16	0.77
YBR211C	AME1		1.21	1.15	0.9	0.9	1.18
YPL080C			0.26		3.91	3.5	0.33
YPR163C	TIF3		0.61	0.45	2.1	2.01	0.56
YDL122W	UBP1		0.75	0.71	1.59	1.32	0.8
YDR539W			2.09	2.17	0.39	0.9	1.9
YHL045W			1.05	1.28	0.78	0.83	1.2
YIR020C			0.99	1.02	0.81	0.79	1.11
YPL146C			0.67	0.58	1.77	1.43	0.76
YDR205W			0.73	0.55	1.61	1.54	0.82
YHR128W	FUR1		1.32		0.76	0.87	0.88
YNL217W			1.32	1.11	0.9	0.77	1.51
YDR474C			1.46	1.44	0.83	1.03	1.25
YHR063C			0.9	0.54	1	1	1.14
YGL088W			1.07	0.49	2.11	1.01	1.13
YHL046C			1.17	1.33	1.02	1.09	1.14
YHR129C	ARP1		1.05	1.14	1.03	0.99	0.86
YMR277W	FCP1		1.08	0.72	1.2	1.13	0.68
YJR057W	CDC8		0.65	0.66	1.75	1.52	0.65
YKR015C			1.2		0.61	0.66	1.25
YLR240W	VPS34		1.23	1.12	0.85	0.88	1.11
YMR316C-A			0.99	0.99	0.98	0.85	1.26
YIL003W			1.26	1.21	0.82	0.8	1.28
YMR316C-B			1.68		0.65		1.5
YMR009W			1.22	1.38	0.73	0.77	1.46
YLR306W	UBC12		1.42	1.55	0.57		1.72
YGL089C	MF(ALPHA)2		0.82	0.95	0.87	0.78	
YER177W	BMH1		1.1	1.01	1.15	1.11	1.06
YJR058C	APS2		1.06	1.16	1.04	1.21	0.91
YDR140W			1.16	1.2	0.96	0.98	1.16
YDL123W			0.95	0.89	1.05	1.03	0.99
YDR206W	EBS1		1.04	0.98	1.14	1.24	0.8
YIL004C	BET1		1.15	1.2	1.02	0.87	1.31
YNL152W			1.02	1.07	1.05	1.01	1.01
YJR094W-A	RPL43B		0.72	0.35	2.45	2.45	0.31
YNL218W			0.91	0.95	0.93	0.85	1.04
YDR475C			1.04		0.65		0.7
YML013C-A			1.18	1.17	0.87	0.82	1.24
YDR141C	DOP1		0.92	0.8	1.2	1.18	0.88
YHR064C	PDR13		1.13	1.53	0.6	0.68	1.35
YHL047C			0.43	0.39	2.48	2.93	0.33
YFL052W			0.41		2.28	1.8	0.36
YDR207C	UME6		0.81	0.82	1.13	1.35	0.76
YNL153C	GIM3		0.74	0.73	1.36	1.28	0.75
YBR212W	NGR1		1.66	1.32	0.68	0.77	1.67
YMR278W			1.91	2.77	0.35	0.65	1.64
YPL081W	RPS9A		0.14	0.09	4.92	4.92	0.25
YIR021W	MRS1		0.64	0.68	1.46	1.17	0.83
YPR164W	KIM3		1.3		0.69	0.84	0.56
YNL219C	ALG9		0.7	0.63	1.43	1.47	0.71
YLR241W			1.39	1.26	0.84	0.96	1.37
YPL147W	PXA1		0.91	1.24	1.06	0.86	1.19
YOL110W	SHR5		1.67	1.87	0.59	0.73	1.76
YLR307W	CDA1		2.55		0.32	0.46	1.75
YER178W	PDA1		1.06	1.17	1.11	1.31	0.99
YMR279C			1.46		0.54	0.75	0.62
YPL082C	MOT1		0.83	0.68	1.3	1.31	0.84
YDL124W			70.97	67.5	0.02	0.02	82.5
YLR242C	ARV1		0.81	0.81	1.1	1.04	0.89
YPL148C	PPT2		1.48	1.55	0.76	0.89	1.53
YGL010W			1.76	1.66	0.6	1.03	2.13
YOL111C			1.11	0.96	0.99	1.05	1.17
YKR016W			1.42	1.29	0.6	0.63	1.57
YDR476C			1.4	1.51	0.68	0.7	1.5
YDR142C	PEX7		1.42	1.61	0.62	0.72	1.21
YHR065C	RRP3		0.86	0.83	1.25	1.12	0.96
YDL125C	HNT1		1.08	1.4	0.82	1.08	1.03
YFL053W	DAK2		1.72	2.87	0.49	0.74	1.28
YNL154C	YCK2		0.67	0.61	1.73	1.59	0.7
YBR213W	MET8		0.69	0.64	2.17	1.46	0.79
YGL011C	SCL1		1.74	1.76	0.76	0.63	2.14
YJR059W	PTK2		0.98	1.03	0.96	1.09	1.03
YKR017C			0.86	1.06	0.77	0.83	0.84
YIR022W	SEC11		1.25	1.32	0.73	0.88	1.09
YPR165W	RHO1		1.32	1.23	1.13	1.36	0.93
YIL005W			0.94	0.82	1.36	1.35	0.86
YLR308W						0.89	1.01
YFL054C			5.1	4.08	0.16	0.43	4.48
YER179W	DMC1		1.64		0.56		1.66
YPL083C	SEN54		0.98	0.9		1.21	0.88
YPR166C	MRP2		0.93	0.96	1.27	1.08	1.28
YHL048W	COS8		4.86	5.05	0.21	0.3	3.87
YDR208W	MSS4		1.13	0.93	1.14	1.02	0.8
YLR309C	IMH1		0.93	0.92	1.1	0.92	0.96
YMR200W	ROT1		1.57	1.69	0.63	0.68	1.57
YER019C-A	SBH2		0.72	0.76	2.01	2.12	0.79
YDR143C	SAN1		0.71	0.64	1.33	0.97	0.9
YDL126C	CDC48		1.39	1.16	1.01	0.79	1.64
YHL049C			1.86	1.76	0.65	0.72	1.83
YDR209C			1.37	1.4	0.82		0.61
YBR214W	SDS24		1.45	1.38	0.63	1.21	1.94
YKR018C			2.07	2.24	0.55	0.47	2.51
YER100W	UBC6		1.38	1.34	0.76	0.75	1.26
YIR023W	DAL81		0.52	0.46	1.86	1.34	0.57
YLR243W			0.9	0.92	1.12	0.9	1.06
YMR201C	RAD14		1.5	1.65	0.68	0.65	1.38
YIL006W			1.8		0.46		1.8
YPL149W	APG5		0.92	0.98	1.05	0.89	1.16
YOL112W	MSB4		1.17	1.35	0.73	0.76	1.23
YDL060W			0.66	0.64	1.75	1.56	0.65
YDR477W	SNF1		0.96	0.62	1.42	1.19	0.68
YHR066W	SSF1		1.46	1.49	0.6	0.83	1.12
YPR167C	MET16		4.78	5.14	0.21	0.52	9.88
YER101C	AST2		1.79	2.22	0.46	0.58	1.71
YIR024C	GIF1		1.33	1.28	0.7	0.62	1.7
YLR244C	MAP1		0.33	0.31		3.81	0.31
YIL007C			1.75	1.71	0.75	0.82	1.51
YOR130C	ORT1		1.02	0.96	1.08	0.98	1.23
YGL012W	ERG4		0.72	0.62	1.77	1.75	0.78
YNL155W			2.82	2.19	0.4	0.36	3.65
YDL061C	RPS29B		0.14	0.14	8.78	8.74	0.15
YDR144C	MKC7		0.9	0.98	1.09	0.98	0.94
YFL055W	AGP3		1.34	1.6	0.71	0.67	1.47
YGR030C	POP6		0.84	0.89	1.04	0.81	1.14
YNL156C			1.37	1.71	0.8	0.8	1.49
YBR215W	HPC2		1.14	1.03	0.99	0.94	1.24
YGL013C	PDR1		0.8	0.58	1.41	0.89	0.9
YPL084W	BRO1		1.14	1.1	0.93	1.01	0.87
YKR019C	IRS4		1.44	1.37	0.68	0.66	1.31
YOL113W	SKM1		1.53	1.09	0.76	0.92	1.43
YBR150C	TBS1		0.78	0.82	1.27	1.2	0.84
YFL056C	AAD6		32.87	23.51	0.04	0.04	39.1
YDR478W	SNM1		0.99	0.87	1.2	1.14	0.76
YBR216C			0.98		1.01	1	0.93
YHR067W			0.97		0.87	0.96	1.01
YNL090W	RHO2		1.04	1.12	0.87	0.9	1.1
YDL127W	PCL2		0.82	0.95	1.04	0.92	0.91
YLR245C	CDD1		0.69	0.63	1.22	1.32	0.77
YOR131C			1.92	1.63	0.68	0.67	1.74
YOL114C					0.62	0.59	1.2
YMR202W	ERG2		0.71	0.57	2.08	2.84	0.56
YDR479C			1.11	1.37	0.79	0.94	1.09
YPL085W	SEC16		1.03	0.87	1.01	0.96	0.48
YML120C	NDI1		3.85	3.13	0.29	0.41	3.52
YER102W	RPS8B		0.13	0.11	20.28	17.71	0.14
YPR168W	NUT2		1.1				0.45
YIR025W			1.08	1.27	0.86	0.76	1.26
YIL008W			0.68	0.79	1.44	1.22	0.86
YFL057C			23.34	18.36	0.05	0.05	35.35
YDL062W			0.39	0.43	2.27	1.99	0.53
YEL020C			1.79	2.03	0.56	0.64	1.8
YPL086C	ELP3		0.58	0.62	1.72	1.73	0.65
YDR145W	TAF61		0.69	0.66	1.4	1.2	0.67
YHR068W	DYS1		1.66	1.92	0.49	0.61	1.49
YNL091W			0.91	0.76	1.22	1.19	0.88
YDL128W	VCX1		2.83	2.9	0.47	0.48	2.99
YIR026C	YVH1		0.3	0.32	2.76	2.34	0.35
YGR031W			1.1	1.19	0.83	0.84	1.04
YGL014W			0.47	0.38	2.77	1.91	0.5
YNL157W			2.66	2.37	0.46	0.54	2.59
YMR203W	TOM40		0.86	0.89	1.27	1.12	0.94
YMR031W-A			1.29		0.67		1.04
YDL063C			0.41	0.35	2.72	1.63	0.49
YDR146C	SWI5		2.03	1.89	0.52	0.37	2.29
YHR069C	RRP4		0.68	0.67	2.01	2.24	0.59
YBR151W	APD1		1.23	1.17	0.93	1.02	1.1
YBR217W	APG12		1.23	1.16	0.98	1.04	1.03
YGL015C			0.66	0.66	1.47	1.41	0.6
YLR180W	SAM1		0.49	0.4	2.22	1.75	0.46
YDR400W			0.51	0.57	1.82	1.93	0.45
YER103W	SSA4		1.82	4.31	0.62	0.81	1.53
YPR169W			0.69	0.59	1.87	1.36	0.82
YLR246W	ERF2		1.41	1.44	0.64	0.77	1.21
YMR204C			1.04		0.84	1.06	0.72
YIL009W	FAA3		0.27	0.19	4.01	4.29	0.24
YOR132W	VPS17		0.85	0.79	1.29	1.17	0.9
YOL115W	TRF4		1.21	0.84	1.09	1.02	1.13
YDR080W	VPS41		1.04	0.49	1.55	1.59	0.66
YLR181C			1.89		0.54	0.59	1.75
YBR218C	PYC2		0.71	0.6	1.54	1.5	0.69
YNL092W			1.15	1.34	0.67	1.07	0.95
YDL129W			0.77	0.89	0.93	0.79	0.9
YIR027C	DAL1		1.24		0.79	0.91	1.03
YLR247C			0.76	0.75	1.32	1.23	0.89
YOL050C			1.02	1.1	0.88	0.83	1.15
YGR032W	GSC2		0.9	1.53	0.86	0.74	0.38
YNL158W			1.01	1.04	0.95	0.87	1.12
YML121W	GTR1		1.6	1.95	0.66	0.72	1.51
YDR081C	PDC2		0.64	0.58	1.54	1.47	0.74
YJL170C	ASG7		1.62				
YFL058W	THI5		2.51	2.28	0.37	0.73	1.39
YGR033C			1.08	1.15	0.89	1.09	0.94
YNL159C			1.22	1.23	0.78	0.89	0.98
YEL021W	URA3		0.63	0.76	1.27	2.31	0.69
YPL087W	YDC1		1.87	2.01	0.54	0.56	2.1
YML122C			1.27		0.91		0.79
YDR401W			0.72	1.17	0.84	1.09	0.98
YER104W	RTT105		1.37	1.75	0.61	0.68	1.45
YMR205C	PFK2		0.54	0.37	2.87	1.86	0.63
YOR133W	EFT1		0.24	0.3	6.5	6.83	0.28
YBL070C			1.09	1.06	0.86	0.87	1.39
YOL116W	MSN1		1.23	1.35	0.7	0.76	1.13
YDL064W	UBC9		0.81	0.8	1.4	1.36	0.83
YBR219C			0.69	0.63	1.65	1.93	0.63
YDR147W	EKI1		1.29		0.87	0.86	1.12
YDR402C					0.51		
YNL093W	YPT53		3.25		0.24		
YER105C	NUP157		0.63	0.55	1.68	1.78	0.54
YGL016W	KAP122		0.69	0.55	1.61	1.55	0.63
YDL065C	PEX19		1.18	1.04	0.77	0.75	1.35
YDR148C	KGD2		2.7	3.07	0.44	0.53	2.2
YBR153W	RIB7		1.23	1.24	0.87	0.79	1.34
YJL171C			0.71	0.65	1.46	1.33	0.71
YFL059W	SNZ3		2.31	3.37	0.54	0.61	1.69
YLR182W	SWI6		0.69	0.6	1.64	1.41	0.73
YEL022W	GEA2		0.81	0.63	1.75	1.67	0.63
YPL088W			0.18	0.15	7.23	5.75	0.19
YML123C	PHO84		10.64	17.28	0.09	0.05	31.96
YIR028W	DAL4		1.5		0.58	0.78	1.38
YLR248W	RCK2		1.51	1.46	0.74	0.82	1.21
YOL051W	GAL11		0.67	0.5	1.7		0.66
YOR134W	BAG7		1.72		0.56	0.69	1.54
YBL071C			0.64	0.65	1.4	1.24	0.7
YOL117W			1.48	1.5	0.67	0.93	1.05
YBR154C	RPB5		0.63	0.67	1.69	1.65	0.74
YDR082W	STN1		1.01	0.95	0.98		0.89
YLR183C			0.47	0.48	2.18	2.01	0.5
YPL089C	RLM1		0.59	0.36	1.97	1.24	0.73
YEL023C			1.15	1.18	0.73	0.91	1.22
YNL094W			0.9	0.89	1.1	0.9	1.07
YOL052C	SPE2		0.74	0.7	1.54	1.34	0.83
YGR034W	RPL26B		0.16	0.15	4.13	4.53	0.28
YOR135C			2.21	2.34	0.45	0.59	1.81
YGL017W	ATE1		1.12	1.09	1.08	1.14	0.91
YOL118C			1.7	2.16	0.45	0.47	2.1
YMR140W			1.48	0.96	0.85	0.84	1.46
YMR206W			1.6		0.58	0.98	1.29
YDR149C			0.82		1.15	1.07	0.91
YNL095C			1.07	1.44	1.07	1	0.95
YGR035C			1.97	2.35	0.43	0.49	2.01
YER040W	GLN3		1.3	1.06	0.76	0.84	1.16
YGL018C	JAC1		1.18		0.84	0.78	1.23
YMR141C			2.91	2.78	0.36	0.45	2.37
YML124C	TUB3		1.03	0.91	1.13	1.24	0.88
YDR403W	DIT1		2.95	5.24	0.22	0.32	3.2
YER106W			1.3		0.75	0.88	1.62
YIR029W	DAL2		1.34	1.26	0.73	1.1	0.95
YLR249W	YEF3		0.26	0.25	6.18	4.39	0.31
YMR207C	HFA1		1		0.93	0.94	0.82
YBL072C	RPS8A		0.13	0.12	20.23	20.63	0.12
YDR083W			0.63	0.71	1.37	1.2	0.86
YDL066W	IDP1		0.9	0.56	1.9	1.74	0.7
YOR070C	GYP1		1.23	1.07	0.93	0.93	1.02
YDR404C	RPB7		0.48	0.46	2.43	2.47	0.45
YER107C	GLE2		0.89	0.84	1.16	1.25	0.85
YJL172W	CPS1		1.03	0.67	1.7	1.28	0.87
YKL130C	SHE2		1.34	1.4	0.7	0.81	1.29
YOL119C			6.77	3.77	0.2	0.25	6.09
YDR084C			0.94	1.08	1.01	1.14	0.94
YPL010W	RET3		0.95	0.87	1.13	1.25	1.04
YDL067C	COX9		1.22	1.23	0.89	1.02	1.4
YCL030C	HIS4		0.46	0.54	2.35	2.42	0.48
YNL096C	RPS7B		0.1	0.1	12.89	11.08	0.11
YBR155W	CNS1		0.58	0.53	1.81	1.17	0.8
YJL173C	RFA3		1.2	1.28	0.91	0.74	1.45
YGR036C	CAX4		1.05	0.98	1	1.06	0.9
YER041W			0.34	0.33	3.56	4.44	0.27
YLR184W							1.13
YMR142C	RPL13B		0.14	0.13	7.91	8.37	0.14
YEL024W	RIP1		1.82	1.66	0.74	1	1.37
YML125C			1.43	1.21	0.85	0.64	1.97
YOL053W			2.96	3.1	0.34	0.4	2.78
YPL011C	TAF47		1.24	1.09	0.91	0.81	1.22
YBR090C			0.84	1	0.83	1.13	0.85
YOR136W	IDH2		2.73	2.73	0.5	0.6	1.99
YBR156C	SLI15		0.38	0.45	2.04	2.02	0.54
YEL025C			1.03	0.9	0.92	1.17	1
YOR071C			0.27	0.32	6.07	4.94	0.24
YER108C				0.7	1.26	1.11	0.84
YOR137C			1.48	1.45	0.8	0.75	1.2
YGL019W	CKB1		2.37	2.03	0.5	0.52	2.59
YDR085C	AFR1		2.79	2.4	0.46	0.59	2.33
YMR208W	ERG12		0.88	0.74	1.27	1.29	0.75
YBL073W			0.84	1	0.96	0.65	1.08
YCL031C	RRP7		0.88	0.81	1.06	0.97	1.09
YNL097C	PHO23		1.59		0.76	0.97	1.25
YGR037C	ACB1		0.8	0.94	1.19	1.41	0.81
YER042W				1.32	0.91	0.84	1.45
YLR185W	RPL37A		1.28	1.39	0.83	0.96	0.99
YLR440C			1.28	1.19	0.95	1.08	0.98
YML126C	HMGS		0.44	0.42	2.24	2.48	0.52
YDR405W	MRP20		0.55	0.55	1.72	1.4	0.7
YKL131W			1.31		0.52	0.65	1.13
YOL054W			0.81	0.65	1.25	1.15	1.02
YMR209C			0.98	0.89	1.07	1.15	0.94
YBR091C	MRS5		0.53	0.57	1.48	1.33	0.69
YBL074C	AAR2		0.87	0.93	0.94	1	0.97
YBR157C	ICS2		4.24		0.19	0.73	3.72
YDL068W			1.2	1.3	0.54	0.8	
YER043C	SAH1		0.37	0.27	4.14	3.64	0.36
YER109C	FLO8		0.61	0.47	1.4	1.73	0.54
YJL174W	KRE9		1.57	1.83	0.7	0.68	1.47
YOL055C	THI20		0.29	0.28	3.4	2.98	0.31
YKL132C	RMA1		1.3	0.99	0.72	0.99	1.12
YML060W	OGG1		1.24	1.12	0.85	0.92	0.97
YPL280W						0.3	
YOR138C			1.54	1.43	0.63	0.8	1.42
YMR143W	RPS16A		0.09	0.1	11.99	12.6	0.11
YDR086C	SSS1		0.61	0.54	2.81	2.34	0.69
YPL012W			0.34	0.23	4.62	2.51	0.37
YDL069C	CBS1		1.22	1.38	0.85	0.69	1.57
YNL098C	RAS2		1.42	1.34	0.78	0.99	1.06
YPL281C	ERR2		0.69	0.97	1.11	1.2	0.84
YDR340W			13.81	20.56	0.07	0.08	18.57
YML061C	PIF1		1.1	1.35	0.83	0.89	0.75
YLR186W			27.11	25.01	0.04	0.11	17.9
YLR441C	RPS1A		0.14	0.14	10.22	11.47	0.14
YEL026W	SNU13		0.31	0.36	4.81	4.83	0.37
YOR072W			0.72		0.74	1.03	0.99
YDR406W	PDR15		0.7	0.73	1.42	1.2	0.84
YPL013C			1.2	1.02	1.27	1.12	1.26
YBR092C	PHO3		0.39	0.45	2.92	2.1	0.49
YBL075C	SSA3		2.36	5.07	0.4	0.96	1.83
YDR341C			0.92	0.83	0.88	0.92	0.86
YER044C			0.37	0.37	3.64	3.63	0.32
YCL032W	STE50		1.42	1.51	0.78	0.74	1.54
YDR407C	TRS120		0.99	0.88	1.12	1.07	0.86
YJL175W			0.76		1.55	1.14	0.75
YKL133C			2.81	3.57	0.34	0.43	2.45
YGR038W	ORM1		0.61	0.61	1.51	1.19	0.68
YOR139C			0.85		1.06	1.04	1.01
YFR001W			0.57	0.53	1.91	1.4	0.73
YMR144W			1.44	1.28	0.77	0.84	1.46
YML127W			0.84	0.73	1.38	1.37	0.8
YPR030W	CSR2		1.54	2.07	0.51	0.62	0.81
YDR087C	RRP1		0.57	0.65	1.58	1.34	0.7
YCR050C			0.62		1.07		
YNL099C			0.96	0.83	1.13	1.22	0.92
YCL033C			2.32	2.28	0.47	0.76	1.65
YJL176C	SWI3		1.11	0.92	0.96	0.87	1.05
YBR158W	ICS4		0.28	0.24	4.03	4.01	0.25
YPL282C			1.05	0.59	1.58	1.46	0.63
YML062C	MFT1		1.38	1.04	0.78	0.71	1.34
YLR187W			0.38	0.41	2.5	1.99	0.54
YLR442C	SIR3		0.78		0.93	0.89	1
YMR145C			2	2.45	0.52	0.55	2.24
YEL027W	CUP5		1.01	1.08	1.16	1.29	1.08
YOR073W			0.84	0.77	1.2	1.26	0.63
YML128C			22.1	23.77	0.05	0.08	15.96
YGL210W	YPT32		1.24	1.27	0.68	0.68	1.33
YOL056W	GPM3		0.44	0.46	1.87	1.48	0.42
YBR093C	PHO5		1.01	0.74	1.21	0.85	1.27
YBL076C	ILS1		0.34	0.27	4.57	3.45	0.37
YDR342C	HXT7		8.04	7.54	0.14	0.13	12.46
YER045C			0.56	0.42	2.2	1.25	0.78
YOR074C	CDC21		0.68	0.84	1.11	1.05	0.79
YDR408C	ADE8		0.49	0.53	2.18	2.23	0.53
YKL134C	1-Oct		1.13	1.16	0.81	0.76	1.11
YGR039W			2.25		0.37	0.48	1.97
YNL020C	ARK1		1.1	1.09	1.05	1.04	1.06
YFR002W	NIC96		1.35	1.58	0.78	0.57	1.48
YPR031W			1.08	0.93	1.02	1.15	0.88
YDR088C	SLU7		1.35	1.42	0.65	0.71	1.34
YPL014W			1.27	1.11	1.04	0.96	1.2
YMR080C	NAM7		0.61	0.46	2.18	1.84	0.54
YBR159W			0.75	0.69	1.4	1.51	0.76
YPL283C	YRF1-7		1.15	1.23	0.85	0.87	0.61
YLR188W	MDL1		0.2	0.21	5.64	3.75	0.31
YMR146C	TIF34		0.41	0.4	3.06	2.72	0.46
YEL028W			0.94	0.93	1.19	1.16	0.85
YFR003C			3.08	2.88	0.46	0.45	3.03
YML129C	COX14		1.09	0.92	0.9	0.82	1.31
YGL211W			0.76	0.79	1.31	1.45	0.61
YOL057W			0.7	0.66	1.43	1.71	0.62
YPL015C	HST2		1.38	1.96	0.57	0.53	1.33
YML032C-A			0.87		0.99	0.85	0.96
YAL040C	CLN3		0.67	0.36	2.91	2	0.74
YDR343C	HXT6		0.99	17.07	0.05	0.05	0.36
YLR189C	UGT51		1.35		0.81	0.89	1.24
YCR051W			0.64	0.62	1.49	1.85	0.55
YEL029C			0.92	0.86	1.15	1.19	0.79
YCL034W			1.72	1.79	0.68	0.86	1.33
YJL177W	RPL17B		0.1	0.1	10.78	9.9	0.12
YKL135C	APL2		1.08	0.95	1.18	1.09	0.99
YIL140W	SRO4		0.94	1	1.16	0.77	0.92
YML063W	RPS1B		0.16	0.14	10.78	11.29	0.15
YLR443W	ECM7		1.06	1.07	0.97	0.89	1.12
YPR032W	SRO7		1.15	0.97	1.01	1	1
YBR094W			1.16	1.09	0.88	0.94	1.14
YBL077W			0.31	0.32	4.64	2.26	0.42
YCL035C	GRX1		4.43	4.49	0.27	0.32	4.04
YJL178C			1.1	1.04	1.12	1.26	0.97
YMR081C	ISF1		1.05	0.84	1.33	1.41	0.69
YML064C	TEM1		1.18	0.78	0.99	1.47	1.28
YER046W			1.56	1.83	0.6	0.7	1.48
YLR444C			1.31	1.29	0.82	0.66	1.49
YOR075W	UFE1		2.86	2.86	0.3	0.28	3.81
YPR033C	HTS1		0.55	0.47	2.32	2.27	0.53
YOR330C	MIP1		1.03	0.9	1.07	0.97	0.9
YDR409W			1.43	1.43	0.64	0.76	1.31
YGL212W	VAM7		1.31	1.14	0.63	0.83	0.97
YLR110C			1	0.98	1.53	1.3	1.23
YOL058W	ARG1		3.24	2.54	0.39	0.72	2.04
YBR095C			1.3	1.33	0.72	0.78	1.27
YNL021W	HDA1		0.79		1.38	1.34	0.66
YBL078C	AUT7		4.12	3.85	0.25	0.26	4.25
YDR089W			1.3	1.34	0.8	0.93	1.06
YDR344C			0.68	0.76	0.81	0.89	0.78
YER047C	SAP1		0.86	0.77	1.21	1.17	0.79
YCR052W	RSC6		0.72	0.88	1.08	0.77	1
YOR076C			1.16		0.88	0.65	1.19
YDR010C			0.8	0.91	0.94	0.96	0.86
