INAME	GENE	CHR	SIMR_UP2_184FR	SIMR_UP2_229	SIMR_UP2_231
YER107C	GLE2	5	  0.89		  1.50
YKL130C				  1.16	
iLx027I		0	  0.83	  0.93	  1.15
iHx104I		0	  1.32	  0.47	  0.66
iNx210I		0	  1.27	  2.29	  0.63
YOL119C		15	  1.89	  0.64	  0.55
YDR084C		4	  0.49	  2.05	  2.50
YPL010W	RET3	16	  0.57	  0.69	  1.89
YDL067C	COX9	4	  0.81	  0.69	  1.37
iGx081I		0	  1.38	  0.78	  0.74
YJL173C	RFA3	10	  0.87	  3.07	  1.20
YNL096C	RPS7B	14	  1.00	  1.01	  0.94
iGx147I		0	  1.40	  0.68	  0.68
YER041W		5	  0.65	  0.62	  1.23
iMx253I		0	  1.19	  0.38	  0.91
YEL024W	RIP1	5	  1.32	  0.66	  0.77
iMx319I		0	  0.67	  0.93	  1.20
YOL053W		15	  0.87	  1.41	  1.29
YPL011C	TAF47	16	  0.52	  1.02	  1.92
iOx502I		15	  0.83	  1.24	  1.17
YOR136W	IDH2	15	  0.49	  0.80	  2.09
iBx267I		0	  1.26		  0.79
iDx784I		0	  1.74	  1.01	  0.40
iLx296I		0	  1.67	  0.93	  0.45
iDx450I		0	  1.07	  1.06	  1.05
YEL025C		5	  0.67	  1.64	  1.70
YOR071C		15	  1.15	  1.95	  1.03
iDx516I		0	  1.30	  0.87	  0.59
iLx028I		0	  1.39	  1.07	  0.53
iHx105I		0	  0.92	  1.48	  0.67
YOR137C		15	  0.46	  0.62	  1.73
iNx211I		0	  0.45	  1.13	  1.99
YDR085C	AFR1	4	  0.82	  0.67	  1.26
iGx082I		0	  2.19	  1.25	  0.35
YNL097C	PHO23	14	  1.34	  1.48	  0.75
iGx148I		0	  1.13	  1.02	  0.73
YER042W	MXR1	5	  0.28	  1.47	  2.97
iMx254I		0	  0.92	  0.86	  1.09
YLR440C		12	  0.66	  0.59	
YKL131W		11	  1.06	  1.08	  1.02
YOL054W		15	  1.10	  1.56	  0.83
iOx503I		0	  1.39	  0.54	  0.84
iBx268I		0	  1.36		  0.75
iDx785I		0	  1.42		  0.66
iLx297I		0	  1.15	  2.05	  0.62
iDx451I		0	  0.56	  1.21	  2.03
YER043C	SAH1	5	  0.63	  1.03	  1.70
YDL068W		4	  0.70	  1.94	  1.67
iHx040I		0	  0.69	  0.79	  1.51
iDx517I		0	  0.57	  1.58	  1.48
YJL174W	KRE9	10	  1.21	  0.72	  0.69
YER109C	FLO8	5	  1.31	  1.40	  0.77
YKL132C	RMA1	11	  1.17	  0.64	  1.03
YOL055C	THI20	15	  0.73	  0.71	  1.35
iLx029I		0	  1.50	  0.56	  0.42
iHx106I		0	  1.39	  1.36	  0.54
YOR138C		15	  1.52	  0.81	  0.56
YPL280W		16	  0.79	  0.56	  1.94
iNx212I		0	  1.55	  0.83	  0.45
YDR086C	SSS1	4	  1.47	  1.06	  0.61
YPL012W		16	  0.65	  2.46	  1.36
YDL069C	CBS1	4	  0.60	  1.55	  1.71
iCx160I		0	  1.28	  1.26	  0.48
iGx083I		0	  1.56	  1.14	  0.44
YNL098C	RAS2	14	  1.09	  3.97	  1.18
iGx149I		0	  1.35	  0.47	  0.56
YPL281C	ERR2	16	  0.94	  1.06	  1.54
iMx255I		0	  0.88	  1.72	  1.05
YEL026W	SNU13	5	  0.44	  0.76	  2.26
YLR441C	RPS1A	12	  0.87	  1.01	  0.92
YOR072W		15	  1.08	  1.70	  0.87
YPL013C		16	  1.50	  0.52	  0.64
iOx504I		0	  0.99	  0.91	  0.71
iBx269I		0	  1.33		  0.74
iDx786I		0	  1.05	  1.03	  0.75
iLx298I		0	  0.45	  0.87	  2.55
iDx452I		0	  0.56	  0.95	  2.25
YER044C		5	  1.33	  0.77	  0.64
iHx041I		0	  1.26	  1.11	  0.83
iDx518I		0	  0.58	  0.96	  1.81
YJL175W		10	  1.34	  0.83	  0.73
YKL133C		11	  1.34	  1.84	  0.93
iHx107I		0	  1.49	  2.59	  0.60
YOR139C		15	  1.58	  0.45	  0.49
YFR001W		6	  1.46	  0.78	  0.60
iNx213I		0	  1.30	  2.28	  0.65
YDR087C	RRP1	4	  1.39	  0.83	  0.64
YPR030W	CSR2	16	  1.55	  2.43	  0.65
iCx161I		0	  0.85	  0.51	  1.43
iGx084I		0	  1.37	  1.73	  0.81
iMx190I		0	  1.02	  2.48	  0.83
YJL176C	SWI3	10	  0.85		  1.31
YNL099C		14	  0.50	  0.62	  1.99
YPL282C		16	  0.91	  1.37	  1.39
iMx256I		0	  1.56		  0.56
YEL027W	CUP5	5	  1.09	  0.45	  0.78
YLR442C	SIR3	12	  0.85	  0.91	  0.83
YOR073W		15	  0.76	  2.39	  1.14
YGL210W	YPT32	7	  1.13	  0.42	  0.85
YOL056W	GPM3	15	  0.57	  1.20	  1.70
iOx505I		0	  1.46	  1.04	  0.68
iDx787I		0	  0.78	  1.13	  0.98
iLx299I		0	  0.57	  1.71	  1.81
iDx453I		0	  0.99	  1.33	  1.06
YER045C		5	  1.20	  1.23	  0.87
iHx042I		0	  0.59	  0.56	  1.39
YOR074C	CDC21	15	  0.67	  0.83	  1.59
iDx519I		0	  1.31	  1.64	  0.57
YKL134C		11	  1.36	  0.84	  0.94
iHx108I		0	  1.00	  0.70	  0.62
YFR002W	NIC96	6	  1.02	  1.12	  1.00
iNx214I		14	  0.54	  0.75	  1.83
YDR088C	SLU7	4	  1.67	  0.79	  0.51
YPR031W		16	  1.18	  1.73	  0.84
YPL014W		16	  2.20	  0.66	  0.69
iCx162I		0	  0.32	  1.12	  3.23
iGx085I		0	  1.16	  1.13	  0.54
iMx191I		0	  1.39	  0.75	  0.72
YPL283C	YRF1-7	16	  1.33	  0.77	  0.74
iMx257I		0	  0.40	  0.45	  1.87
YEL028W		5	  0.69	  0.99	  0.81
YFR003C		6	  0.81	  0.55	  1.27
iOx440I		0	  1.31	  0.79	  0.66
YGL211W		7	  1.64	  1.88	  0.63
YOL057W		15	  1.26	  0.45	  0.87
YPL015C	HST2	16	  1.09	  0.65	  1.05
iOx506I		0	  1.20	  1.38	  0.87
iDx788I		0	  1.30		  0.77
YAL040C	CLN3	1	  0.74	  1.41	  1.86
iDx454I		0	  0.72	  1.19	  1.26
iHx043I		0	  0.63	  0.66	  1.50
YEL029C		5	  0.65	  0.67	  1.67
iDx120I		0	  0.89	  1.09	
YJL177W	RPL17B	10	  0.54		  1.66
YKL135C	APL2	11	  0.81	  0.53	  1.13
iHx109I		0	  0.69	  1.45	  1.26
iNx215I		0	  0.52	  1.00	
YLR443W	ECM7	12	  1.65	  1.82	  0.53
YPR032W	SRO7	16	  0.71	  1.25	  1.57
iCx163I		0	  2.43	  0.69	  0.51
iGx086I		0	  1.93	  2.07	  0.44
iMx192I		0	  1.27		  0.66
YJL178C		10	  1.13		  0.93
iMx258I		0	  0.37	  1.53	  2.42
YER046W		5	  0.66	  1.00	  1.65
YLR444C		12	  0.90	  0.57	  0.63
iIx001I		9	  1.64	  1.96	  1.10
iOx441I		0	  1.26	  2.39	  0.61
YOR075W	UFE1	15	  0.56	  0.41	  1.97
YPR033C				  0.86	  0.91
YLR110C		12	  1.35	  0.72	  0.66
YGL212W	VAM7	7	  1.36	  0.85	  0.78
YOL058W	ARG1	15	  1.43	  1.06	  0.80
iOx507I		0	  0.34	  1.17	  2.97
iDx789I		0	  0.65	  0.84	  1.44
YDR089W		4	  0.63	  1.33	  1.38
iDx455I		0	  1.96	  0.74	  0.39
YER047C	SAP1	5	  0.85	  0.70	  0.98
iHx044I		0	  0.84	  0.44	  1.18
iDx121I		0	  1.18	  2.09	  0.56
YOR076C		15	  0.63	  1.53	  1.75
iNx150I		0	  0.77	  0.40	  1.19
YGL213C	SKI8	7	  0.86	  0.83	  1.57
YKL006C-A	SFT1	11	  1.25		  0.76
YFR004W	RPN11	6	  1.70	  0.70	  0.84
iNx216I		0	  1.39	  0.70	  0.86
YPL016W				  1.39	  1.09
iCx164I		0	  1.16	  0.59	  0.80
iGx087I		0	  1.13	  1.01	  0.54
iMx193I		0	  1.56	  0.56	  0.49
YAL041W	CDC24	1	  0.55	  0.86	  1.31
iMx259I		0	  0.98	  0.66	  0.74
YKL070W		11	  0.95	  1.30	  1.02
YFR005C	SAD1	6	  0.70	  1.06	  1.49
YGR230W	BNS1	7	  1.00	  0.87	  1.00
iOx442I		0	  1.23		  0.73
iIx002I		0	  1.27	  0.72	  1.26
YKL136W		11	  0.58	  1.03	  1.45
YOL059W	GPD2	15	  1.48	  0.61	  0.73
YPL017C		16	  1.74	  1.62	  0.60
iOx508I		0	  0.39	  0.74	  2.78
iDx390I		0	  1.81	  1.41	  0.46
iDx456I		0	  0.77	  0.57	  1.31
YER048C	CAJ1	5	  1.30	  1.71	  0.58
iHx045I		0	  0.83	  0.78	  1.08
iDx122I	STF1	4	  1.10	  1.33	  0.65
YGR231C				  1.01	
YJL179W	PFD1	10	  0.86		  1.18
iNx151I		0	  1.25	  1.45	  0.94
iNx217I				  1.74	
YLR445W		12	  0.88	  1.00	  0.66
iPx400I		0	  0.58	  1.66	  1.52
YLR111W		12	  1.44	  1.00	  0.44
YPR034W	ARP7	16	  1.71	  0.91	  0.51
iCx165I		0	  0.50	  0.76	  1.85
iGx088I		0	  0.57	  0.47	  2.55
iMx194I		0	  1.03	  1.86	  0.88
YAL042W	FUN9	1	  1.10	  1.12	  0.72
YKL071W		11	  0.77	  1.69	  1.67
iOx443I		0	  1.71	  1.79	  0.53
iIx003I		0	  1.04	  1.40	  1.46
YOR077W	RTS2	15	  1.46	  1.11	  0.62
YGL214W				  1.27	
YKL137W		11	  0.58		  1.99
iOx509I		0	  0.34	  0.72	  2.39
iDx391I		0	  0.42		  2.16
YAR060C		1	  0.84	  0.58	  1.38
YAL043C	PTA1	1	  1.60	  1.32	  0.68
iDx457I		0	  0.46	  0.88	  2.50
iHx046I		0	  1.44	  0.95	  0.73
iDx123I		0	  1.19	  1.76	  0.60
iNx152I		0	  1.08	  0.80	  0.69
YLR380W	CSR1	12	  1.65	  0.83	  0.53
YKL138C	MRPL31	11	  0.44	  1.97	  2.76
YFR006W		6	  1.03	  0.51	  0.83
iNx218I		0	  1.03	  1.11	  1.09
YLR446W		12	  0.83	  0.87	  0.87
YLR112W				  0.73	
iPx401I		0	  0.96	  1.10	  0.92
YPR035W	GLN1	16	  1.59	  1.45	  0.55
YPL018W	CTF19	16	  2.09	  0.55	  0.63
iCx166I		0	  0.51	  1.04	  1.98
iGx089I		0	  1.29	  0.58	  0.60
iMx195I		0	  0.56	  2.08	  2.46
YBL001C	ECM15	2	  0.53	  1.29	  1.44
YER049W		5	  0.59	  1.24	  2.16
YKL072W	STB6	11	  1.04	  0.73	  1.02
YLR447C	VMA6	12	  1.27	  2.28	  0.80
YLL030C		12	  1.54	  0.49	  0.38
iOx444I		0	  1.49		  0.75
iIx004I		0	  1.20	  0.88	  0.99
YGR232W		7	  0.56	  0.76	  1.43
YOR078W		15	  0.84	  0.63	  1.17
YGL215W	CLG1	7	  0.76	  0.83	  0.66
iOx110I		0	  1.05	  0.64	  1.11
YPL019C		16	  1.55	  0.51	  0.74
iDx392I		0	  0.98	  1.50	  0.91
YAL044C	GCV3	1	  0.99	  2.11	  0.78
iDx458I		0	  1.13	  1.05	  0.87
YGL150C	INO80	7	  0.54	  1.01	  1.47
iHx047I		0	  1.97	  1.13	  0.45
iDx124I		0	  0.69	  1.30	  1.41
YGR233C	PHO81	7	  0.78	  0.88	  1.09
YOR079C	ATX2	15	  0.81	  1.66	
YLR381W				  0.98	
iNx153I		0	  0.38		  2.36
iJx230I		0	  1.46	  1.69	  0.72
YFR007W		6	  1.07	  0.45	  0.87
iNx219I		0	  0.54	  1.08	  1.78
iPx402I		0	  1.01		  1.08
YLR113W	HOG1	12	  0.78		
YPR036W	VMA13	16	  1.42	  0.66	  0.45
iCx167I		0	  1.01		  1.05
YAR061W		1	  1.09	  1.18	  1.42
iMx196I		13	  1.03	  1.33	  1.62
iEx350I		0	  1.16	  2.05	  0.96
YLR382C	NAM2	12	  1.14	  1.14	  0.80
YKR090W		11	  1.46	  0.89	  0.59
YKL073W	LHS1	11	  1.62	  1.12	  0.68
YLL031C		12	  1.31	  1.29	  0.59
iOx445I		0	  0.54	  1.37	  1.42
iIx005I		0	  1.54	  1.46	  0.64
YLR114C		12	  1.07	  0.61	  0.94
YGL216W	KIP3	7	  1.09	  0.58	  0.42
YPR037C		16	  1.27	  0.92	  0.83
YKL139W	CTK1	11	  0.70	  0.67	  1.06
iOx111I		0	  1.58	  1.53	  0.69
iDx393I		0	  1.04	  0.83	  0.92
YAL045C		1	  1.36	  1.36	  0.97
iDx459I		0	  0.63	  0.86	  1.14
YKL074C	MUD2	11	  1.95	  1.52	  0.71
iHx048I		0	  1.33	  0.69	  0.80
iDx125I		0	  0.88	  0.86	  1.20
iNx154I		0	  0.77	  0.38	  1.36
iJx231I		0	  1.66		  0.54
YGL217C		7	  0.92	  1.98	
YBL002W	HTB2	2	  0.92	  1.08	  1.00
YFR008W		6	  1.15	  2.24	  1.04
YLR448W	RPL6B	12	  1.13		  0.69
iPx403I		0	  0.71	  1.77	  1.26
iCx168I		0	  1.37	  0.92	  0.60
YAR062W		1	  1.15	  0.82	  1.49
iMx197I		0	  0.95	  0.59	  1.47
iEx351I		0	  1.15		  0.87
YBL003C	HTA2	2	  0.64	  2.17	  1.15
iOx380I		0	  0.84	  0.58	  1.65
YKR091W	SRL3	11	  0.88	  1.40	  1.23
YGL151W	NUT1	7	  0.49	  1.53	  1.71
YLL032C		12	  0.90	  0.79	  0.73
iOx446I		0	  0.60		  1.78
iIx006I		0	  0.64	  0.58	  1.48
iGx600I		0	  1.05	  1.30	  0.62
YGR234W	YHB1	7	  0.48	  0.76	  1.57
iOx112I		0	  1.17	  0.71	  0.93
iDx394I		0	  1.30	  1.82	  0.58
YAL046C		1	  1.08		  0.74
iDx060I		0	  1.56	  1.23	  0.50
YKR092C	SRP40	11	  1.18	  0.94	  0.98
YKL075C		11	  0.58	  0.68	  2.06
YGL152C		7	  1.33		  0.60
iHx049I		0	  0.82	  1.53	  1.32
iDx126I		0	  0.78	  0.74	  1.42
YGR235C		7	  0.44	  0.95	  1.78
YBR020W	GAL1	2	  0.71	  1.35	  1.45
iNx155I		0	  1.92	  0.92	  0.60
iJx232I		0	  0.36	  1.38	  3.00
YLR383W	RHC18	12	  0.84		  1.10
YFR009W	GCN20	6	  1.18	  1.89	  0.76
YLR449W	FPR4	12	  1.21	  3.16	  0.59
YLR115W				  0.87	
iPx404I		0	  0.87	  1.29	
YPR038W		16	  1.27	  1.11	  0.86
iCx169I	SOL2	3	  1.11	  0.88	  0.66
iMx198I		13	  0.77	  1.62	
iEx352I		0	  0.90	  1.08	  0.82
YLR384C	IKI3	12	  1.10	  1.48	  0.78
iOx381I		0	  0.97	  1.36	  1.05
YLR050C		12	  1.17	  0.96	  0.82
iOx447I		0	  1.34	  0.56	  0.70
iIx007I		0	  1.05	  0.78	  0.92
iGx601I		0	  1.17	  0.96	  0.59
YGL218W		7	  0.83	  1.23	  0.70
iOx113I		0	  1.15	  0.68	  1.20
iDx395I		0	  1.76	  1.08	  0.44
YAL047C	SPC72	1	  1.10	  0.91	  0.86
YBR084C-A	RPL19A	2	  0.53	  1.40	  1.68
iDx061I		0	  1.34	  0.56	  1.01
iNx090I		0	  1.79	  0.58	  0.54
YKL076C		11	  0.51	  1.92	  2.76
iDx127I		0	  0.45	  0.67	  2.20
YGR236C		7	  0.54		  1.76
YBR021W	FUR4	2	  0.78	  0.76	  1.30
iNx156I		0	  2.05	  0.80	  0.39
iJx233I		0	  0.54	  0.91	  1.61
YGL219C		7	  0.92	  0.56	  0.66
YBL004W				  0.95	
YLL033W		12	  0.97	  0.73	  1.41
YLR116W				  0.49	
iPx405I		0	  0.42		  2.15
YPR039W		16	  1.40	  1.74	  0.85
YAR064W		1	  1.18	  1.67	  1.00
iEx353I		5	  0.89	  0.59	  1.38
iMx199I		0	  0.92	  0.95	  1.28
YLR385C		12	  1.85	  1.14	  0.53
iOx382I		0	  1.03	  1.40	  0.86
YKR093W	PTR2	11	  0.89	  1.00	  1.29
YGR170W	PSD2	7	  0.90	  2.26	  0.93
YLR051C		12	  1.45	  0.58	  0.66
YGL153W	PEX14	7	  1.35	  0.82	  0.65
YLL034C		12	  0.69	  1.24	  1.90
iOx448I		0	  0.58	  1.79	  1.68
iIx008I		0	  1.59	  1.43	  0.49
iGx602I		0	  0.83	  1.07	  0.81
YLR117C	SYF3	12	  0.54	  0.97	  1.88
iOx114I		0	  0.96	  0.66	  1.12
iDx396I		0	  1.05	  1.04	  1.11
YBR290W	BSD2	2	  0.56	  0.70	  1.40
YAL048C		1	  0.85		  1.05
iDx062I		0	  1.16	  0.76	  1.01
YKR094C	RPL40B	11	  0.73	  0.35	  1.34
YGR171C	MSM1	7	  0.68	  0.72	  1.58
iNx091I		0	  0.96		  1.02
YGL154C	LYS5	7	  0.91	  1.11	  1.08
iDx128I		0	  2.10	  0.68	  0.54
YGR237C		7	  0.83	  1.78	  1.30
YBR022W		2	  0.52	  0.61	  1.77
iNx157I		0	  2.06	  2.18	  0.44
iJx234I		0	  0.67	  1.72	  1.58
YBL005W	PDR3	2	  1.55	  0.90	  0.62
iPx340I		0	  1.67	  0.83	  0.35
YBR291C	CTP1	2	  0.47	  0.59	  1.93
iPx406I		0	  1.47	  1.05	  0.53
iEx354I		0	  1.00	  0.72	  1.41
YDR540C		4	  1.22	  1.04	  0.79
YBR023C	CHS3	2	  0.71	  1.58	  1.10
iOx383I		0	  1.32	  2.41	  0.70
YBL006C		2	  1.76	  0.64	  0.38
iEx020I		0	  1.22	  1.00	  0.82
YKL077W		11	  0.49	  0.75	  2.12
iOx449I		0	  1.13	  2.31	  0.94
iIx009I		0	  1.33	  0.78	  0.61
iGx603I		0	  0.83	  1.69	  0.99
YLR118C		12	  0.87	  1.13	  1.12
iOx115I		0	  1.45	  1.14	  0.60
iDx397I		0	  0.30		  3.38
YAL049C		1	  0.36	  0.98	  2.51
iDx063I		0	  1.44	  1.43	  0.74
YGR172C	YIP1	7	  1.12	  0.96	  0.89
iNx092I		0	  1.69		  0.63
iDx129I		0	  1.90		  0.44
YGR238C	KEL2	7	  1.08	  0.82	  1.06
iNx158I		0	  1.15	  0.66	  1.04
iJx235I		0	  1.56	  0.75	  0.56
YLR386W		12	  1.02	  0.93	  0.92
iPx341I		0	  1.10	  0.39	  0.59
YLR052W		12	  1.30	  0.85	  0.73
YLL035W		12	  0.77	  1.26	  1.59
YBR292C		2	  0.75	  1.31	  1.24
iPx407I		0	  1.67	  1.03	  0.44
YAR066W		1	  1.21	  2.23	  0.90
iEx355I		0	  1.23	  0.86	  1.18
YLR387C		12	  0.77	  1.61	  1.11
YDR541C		4	  1.22	  1.29	  1.09
iOx384I		0	  1.44	  0.69	  0.93
YKR095W	MLP1	11	  0.93	  0.58	  0.67
YBL007C	SLA1	2	  0.75	  1.14	  0.99
iEx021I		0	  0.59	  1.14	  1.74
YLR053C		12	  1.05	  1.61	  0.89
YHR130C		8	  0.64	  1.22	  1.29
YGL155W	CDC43	7	  0.88	  0.90	  1.02
YKL078W		11	  1.04	  0.73	  1.45
iOx050I		0	  1.18		  0.77
YLL036C	PRP19	12	  1.78	  0.64	  0.65
iGx604I		0	  1.19	  1.05	  0.59
iOx116I		0	  1.49	  1.00	  0.65
iDx398I		0	  1.42	  0.92	  0.79
YMR010W		13	  1.80	  0.83	  0.59
iDx064I		0	  0.98	  0.65	  0.97
iNx093I		0	  1.05		  1.14
iJx170I		0	  1.24	  1.93	  0.75
YGR239C	PEX21	7	  0.94	  2.48	  0.97
YBR024W	SCO2	2	  0.76	  0.53	  1.10
iNx159I		0	  1.15	  0.89	  0.98
iJx236I		0	  1.38	  0.91	  0.55
iPx342I		0	  0.86	  0.85	  0.94
iPx408I		0	  1.39	  0.55	
YLR119W	SRN2	12	  0.72	  1.30	  1.34
iEx290I		0	  0.92	  0.60	  1.81
YGL090W	LIF1	7	  1.36	  0.56	  0.86
YBR025C		2	  1.01		  1.02
YKR096W				  0.53	
iOx385I		0	  1.39	  1.98	  0.79
YGR173W		7	  0.92		  1.07
iEx022I		0	  1.30	  1.73	  0.74
YLR054C		12	  1.05	  0.93	  1.33
YHR131C		8	  1.15	  0.83	  0.99
YGL156W	AMS1	7	  0.98	  1.69	  0.87
YKL079W	SMY1	11	  1.15	  1.13	  1.10
iOx051I		0	  0.32	  1.73	  2.50
iGx605I		0	  0.70	  1.12	  1.14
iOx117I		0	  0.48	  1.05	  2.01
iDx399I		0	  1.21	  0.43	  0.82
YMR011W	HXT2	13	  1.22	  0.87	  1.03
YGL091C	NBP35	7	  0.67	  0.62	  1.64
iDx065I		4	  0.62	  1.30	  1.68
YBR293W		2	  1.10	  0.91	  1.01
YGR174C	CBP4	7	  0.58	  2.73	  1.79
iNx094I		0	  1.23	  2.76	  0.85
iJx171I		0	  0.64		  1.54
YMR280C	CAT8	13	  0.78	  1.03	  1.00
iJx237I		10	  0.89	  0.76	
YLR388W	RPS29A	12	  1.35	  1.96	  0.59
YDR542W		4	  1.15	  0.54	  1.53
YBL008W				  2.05	  0.98
iPx343I		0	  0.40	  0.96	  2.00
iLx420I		0	  1.81	  1.05	  0.45
YLL037W		12	  1.40	  0.57	  0.62
iPx409I		0	  0.82	  1.06	  1.15
YNL220W	ADE12	14	  0.86	  0.73	  1.08
iEx291I		5	  0.93	  0.55	  1.46
YAR068W		1	  0.98	  1.68	  1.07
YLR389C	STE23	12	  0.86	  0.64	  1.16
YDR543C		4	  0.85	  0.68	  1.35
YBR026C	MRF1'	2	  0.96	  0.96	  0.97
iAx100I		0	  1.41		  0.97
iOx386I		0	  1.11	  0.51	  0.74
iGx540I		0	  0.95		  0.77
YKR097W	PCK1	11	  0.60	  0.90	  1.40
iEx023I		0	  1.38	  1.10	  0.68
YLR055C	SPT8	12	  1.22	  2.12	  0.95
YHR132C	ECM14	8	  1.21	  0.85	  0.69
YGL157W		7	  0.98	  1.02	  0.87
iOx052I		0	  0.75	  0.64	  1.02
YLL038C	ENT4	12	  1.97	  0.91	  0.60
iGx606I		0	  0.74	  1.66	  1.46
YNL221C	POP1	14	  1.23	  1.96	  0.55
iOx118I		0	  1.48	  1.92	  0.57
YAR069C		1	  1.19	  0.60	  0.79
YMR012W	CLU1	13	  1.06	  1.05	
YBR294W	SUL1	2	  0.99	  1.04	  1.19
iDx066I		0	  0.39	  1.63	  2.69
YGR175C				  1.04	
YKR098C	UBP11	11	  0.64	  0.55	  1.56
iNx095I		0	  1.45		  0.52
iJx172I		0	  0.39	  1.32	  2.27
iJx238I		0	  1.23	  0.85	
YBL009W		2	  0.96		  0.71
iPx344I		0	  1.29	  2.53	  0.53
iLx421I		0	  1.36	  0.83	  0.63
YMR013C	SEC59	13	  0.73	  0.94	  1.64
iPx010I				  0.49	  0.71
iEx292I		0	  1.02	  1.14	  1.48
YGL092W	NUP145	7	  0.74	  0.58	
YDR544C		4	  1.14	  0.64	  1.42
YBR027C		2	  0.89	  1.05	  0.95
YHL050C		8	  1.73	  1.47	  0.93
iAx101I		0	  1.01		  1.32
iOx387I		0	  0.54	  0.77	  1.76
iGx541I		0	  1.44	  1.06	  0.56
iEx024I		0	  1.70	  1.15	  0.59
YHR133C		8	  1.01	  0.52	  1.09
YGL158W	RCK1	7	  1.45	  1.18	  0.82
YMR281W				  0.73	
iOx053I		0	  1.33	  0.85	  0.70
iKx130I		0	  1.79	  1.38	  0.49
YLL039C	UBI4	12	  1.09	  0.67	  0.82
iGx607I		0	  1.32	  0.91	  0.73
iOx119I		0	  1.66	  1.59	  0.64
YBR295W	PCA1	2	  1.53	  1.10	  0.59
iDx067I		0	  1.68	  0.75	  0.62
iNx096I		0	  1.13	  0.69	  0.83
iJx173I		0	  0.86	  0.44	  0.93
YMR282C	AEP2	13	  0.89	  0.76	  1.22
iJx239I		0	  1.24	  1.22	  0.73
YDR210W		4	  0.96		  0.75
iPx345I		0	  1.44	  1.16	  0.48
iLx422I		0	  0.57	  2.22	  1.62
YLR056W	ERG3	12	  1.61	  1.17	  0.63
iPx011I		0	  0.98	  0.51	  0.88
YBR296C	PHO89	2	  0.66	  0.81	  1.10
YNL222W	SSU72	14	  0.74	  0.51	  1.53
iEx293I		0	  1.57	  0.90	  0.53
YGL093W	SPC105	7	  1.79	  1.60	  0.62
YBR028C		2	  1.23	  0.84	  0.79
iAx102I		0	  0.88		  1.18
iOx388I		0	  1.04	  0.63	  0.78
iGx542I		0	  0.81	  0.55	  1.04
YKR099W	BAS1	11	  1.09	  3.58	  0.89
YGR176W		7	  1.09	  0.59	  0.75
iEx025I		0	  0.83	  1.91	  1.07
YGL159W		7	  1.03	  0.70	  0.93
iOx054I		0	  1.19	  0.77	  0.71
iKx131I		0	  0.46	  0.78	  1.82
iGx608I		0	  1.03	  1.61	  0.87
YMR014W		13	  0.73	  0.63	  1.81
YGL094C	PAN2	7	  1.29	  0.82	  0.75
iDx068I		0	  1.13	  0.85	  0.97
YGR177C				  1.20	
iJx174I		10	  0.91	  1.88	  0.89
iNx097I		0	  0.41	  0.79	  2.46
YMR283C	RIT1	13	  1.67	  0.86	  0.62
iPx280I		0	  1.04	  0.67	  0.75
YDR545W	YRF1-1	4	  1.40	  2.09	  0.89
YDR211W	GCD6	4	  1.47	  1.24	  0.63
iPx346I		0	  1.28	  1.02	  0.49
iLx423I		0	  1.93	  1.56	  0.56
YLR057W		12	  0.54	  1.16	  2.15
YHR134W		8	  0.84	  0.65	  1.19
YMR015C	ERG5	13	  0.61	  0.70	  1.83
iPx012I		0	  0.60	  1.58	  1.55
YNL223W	AUT2	14	  1.31	  0.76	  0.85
iEx294I		0	  1.34	  0.68	  0.77
YBR029C	CDS1	2	  1.59	  0.92	  0.69
iAx103I		0	  1.02		  1.11
iOx389I		0	  1.23	  0.56	  0.60
iGx543I		0	  0.36		  2.23
iEx026I		0	  0.98	  1.16	  1.38
YLR058C	SHM2	12	  0.60	  0.67	  2.03
YHR135C	YCK1	8	  0.96	  0.76	  0.88
iOx055I		0	  1.80	  0.97	  0.49
iKx132I		0	  1.39	  1.02	  0.73
iGx609I		0	  1.40	  1.05	  0.66
YNL224C		14	  1.35	  1.24	  0.77
YGL095C	VPS45	7	  0.56	  1.37	  2.21
YBR297W	MAL33	2	  0.97	  1.07	  0.92
iDx069I		0	  1.46	  0.98	  0.68
YGR178C				  0.89	
iNx098I		0	  1.31	  0.51	  0.73
iJx175I		0	  1.47	  0.81	  0.87
YDR480W	DIG2	4	  0.91	  1.15	  1.13
iPx281I		0	  1.71	  0.47	  0.50
YDR212W	TCP1	4	  1.24	  0.87	  0.82
iPx347I		0	  1.03	  0.66	  0.52
iLx424I		0	  0.49	  0.99	  2.04
YMR016C	SOK2	13	  1.57	  0.97	  0.71
iPx013I		0	  1.14	  0.87	  0.68
YBR298C	MAL31	2	  0.48	  1.56	  2.28
iEx295I		0	  0.69	  1.92	  1.28
YDR481C	PHO8	4	  0.97	  0.76	  1.01
iGx544I		0	  1.02	  0.72	  0.83
iAx104I		0	  1.09		  0.81
iEx027I		0	  0.54	  0.61	  1.55
YLR059C	YNT20	12	  1.62	  1.39	  0.69
YHR136C	SPL2	8	  1.70	  0.65	  0.58
iOx056I		0	  1.67	  0.77	  0.63
iKx133I		0	  1.57	  0.98	  0.54
YMR284W	YKU70	13	  0.78	  0.46	  1.31
iGx210I		0	  1.20	  1.35	  0.86
YNL225C	CNM67	14	  1.07	  2.58	  0.92
YIL010W	DOT5	9	  0.86	  0.78	  1.21
YGR179C		7	  1.39	  1.18	  0.74
iNx099I		0	  1.81	  0.55	  0.51
