INAME	GENE	CHR	SIMR_UP2_184FR	SIMR_UP2_229	SIMR_UP2_231
YGL189C	RPS26A	7	  1.69	  1.92	  0.79
iJx269I		0	  1.12	  1.59	  0.93
iBx423I		0	  0.46	  0.81	  1.93
YCR015C		3	  1.27	  1.56	  1.30
iPx375I		16	  0.70	  1.18	  0.77
iLx452I		0	  1.22	  2.03	  0.85
iFx012I		0	  1.27	  0.67	  0.93
YLR086W	SMC4	12	  1.09	  1.33	  0.81
YHR163W	SOL3	8	  0.42	  0.48	  2.55
iPx041I		0	  1.16	  2.29	  0.89
YIL104C		9	  1.77	  1.39	  0.67
iLx518I		0	  1.33	  1.19	  0.71
iPx107I		0	  1.49	  0.59	  0.44
YBR058C	UBP14	2	  1.14	  0.47	  0.95
iGx572I		0	  0.83		  1.16
iEx055I		0	  1.55	  0.82	  0.81
iAx132I		0	  1.34	  1.25	  0.88
YLR087C				  1.14	  1.38
YHR164C	DNA2	8	  0.56	  0.99	  1.25
iOx084I		0	  1.38	  0.77	  0.92
iKx161I		0	  0.44		  1.41
YDL224C	WHI4	4	  0.56	  0.86	  1.77
iKx227I		0	  0.63	  1.06	  2.37
iGx304I		0	  1.01	  1.19	  1.01
iMx410I		0	  2.15	  0.55	  0.48
YMR044W		13	  0.56	  0.54	  2.07
YNR002C	FUN34	14	  1.20	  2.94	  0.89
iDx098I		0	  0.51	  0.65	  1.82
YML027W	YOX1	13	  0.64	  1.82	  1.69
iBx424I		0	  0.67		  1.45
YDR241W		4	  1.30		  0.92
iPx376I		0	  0.91	  0.66	  1.00
iLx453I		0	  1.97	  0.91	  0.37
iFx013I		0	  1.10	  0.69	  0.73
YMR045C		13	  1.12	  1.29	  1.57
iPx042I		0	  1.04	  0.55	  0.90
YIL105C		9	  0.96	  0.65	  0.96
iLx519I		0	  1.03	  0.78	  0.93
YDR307W		4	  0.83	  2.03	  1.35
YNL253W		14	  0.91	  1.08	  0.97
iPx108I		0	  1.40	  1.43	  0.44
YNL319W		14	  0.77	  1.31	  1.46
YBR059C	AKL1	2	  1.00	  0.51	  0.75
iGx573I		0	  0.76	  2.24	  1.43
iEx056I		0	  0.64	  1.02	  1.54
iAx133I		0	  1.15	  0.73	  0.98
YHR165C	PRP8	8	  0.81	  0.60	  0.83
iOx085I		0	  1.49	  1.23	  0.64
iKx162I		0	  1.64		  0.57
YDR308C	SRB7	4	  0.56	  0.80	  1.98
YNL254C		14	  1.73	  1.54	  0.66
YCR016W		3	  0.74	  1.49	  1.74
iKx228I		0	  0.61	  1.04	  2.01
iGx305I		0	  1.35	  0.83	  0.76
iMx411I		0	  1.05	  0.66	  0.99
YNR003C	RPC34	14	  1.31	  0.76	  0.79
iDx099I		0	  1.56	  0.53	  0.52
YML028W	TSA1	13	  0.99	  0.67	  0.69
iBx425I		0	  1.09		  1.11
YCR017C				  1.33	  0.79
YDR242W	AMD2	4	  0.79	  0.92	  1.48
iPx377I		0	  0.42	  0.99	  2.51
iLx454I		0	  0.54	  0.61	  1.75
iFx014I		0	  0.75	  0.89	  0.97
YLR088W	GAA1	12	  1.03	  1.59	  1.21
YMR046C		13	  1.93	  1.55	  0.92
YDL225W	SHS1	4	  0.43		  2.18
iPx043I		0	  1.37	  0.94	  0.59
iLx120I		0	  1.56	  0.63	  0.57
iPx109I		0	  1.55	  1.27	  0.51
YDL160C	DHH1	4	  1.56	  1.70	  0.62
iAx134I		1	  0.94	  1.84	  1.25
iGx574I		0	  0.45	  0.83	  2.00
