NAME	GENE	CHR	ya1s4p2_106	ya1s4p2_0114FR	ya1s4p2_0108FR	ya1s4p2_0110
YHR038W	FIL1		0.97	0.9	0.77	1.11
YPR139C			0.73	1.52	1.36	0.88
YNL061W	NOP2		0.47		1.75	0.6
YLR216C	CPR6		1.43	0.6	0.63	1.61
YCLX06C			0.97	1.19	1.25	0.84
YNL127W			0.8	1.01	1.11	0.95
YDR384C			0.15	4.48	4.08	0.27
YDR050C	TPI1		0.79	2.57	2.29	0.99
YCL075W			0.73	0.91	1.02	0.68
YOL099C			2.18	0.51	0.63	1.92
YKL176C			0.8	1.31	1.19	0.79
YDL033C			0.48	1.5	1.55	0.61
YAR002C-A	ERP1		1.09	0.89	0.97	1.23
YHR039C			0.63	1.74	1.72	0.63
YDR116C			0.82	1.4	1.27	0.9
YNL062C	GCD10		0.58	1.66	1.36	0.7
YGR002C			0.86	1.02	1.06	0.94
YLR150W	STM1		0.82	2.11	2.14	0.83
YOR102W			0.95	1.32	1.55	0.98
YER087W			1.97	0.41	0.37	2.43
YMR188C			1.55	0.71	0.73	1.6
YBR122C	MRPL36		1.15	0.88	0.91	1.12
YGR270W	YTA7		0.87	1.16	1	0.99
YFL028C	CAF16		0.9	1.15	1.17	1
YBL105C	PKC1		0.61	0.8	0.91	0.78
YPR074C	TKL1		0.93	1.38	1.27	0.88
YOR371C			1.08	0.89	0.98	0.89
YLR151C			1.4	0.7	0.77	1.2
YGL253W	HXK2		0.18	5.84	4.27	0.26
YPL057C	SUR1		0.63	1.62	0.87	0.97
YOR103C	OST2		1	1.26	1.35	0.95
YNL128W	TEP1		0.68	1.43	1.45	0.56
YER088C	DOT6		1.17	0.84	0.88	0.95
YDR051C			1.35	0.69	0.59	1.72
YDR117C			0.92	1.1	0.91	1.06
YFR045W			1.42	0.73	0.74	1.26
YJL206C			1.22	0.74	0.8	1.18
YOL020W	TAT2		0.53	1.81	1.38	0.76
YLR217W			1.19	0.91	0.92	1.15
YCLX07W			0.92		0.63	1.06
YBL040C	ERD2		1.21	1.26	1.24	1.29
YDR385W	EFT2		0.48	3.3	2.45	0.67
YFR046C			0.62	1.89	2.26	0.51
YBR123C	TFC1		1.1	0.86	0.77	0.98
YGR271W			1.06	0.85	0.91	0.81
YFL029C	CAK1		3.36	0.26	0.26	3.66
YBL106C	SRO77		0.74	1.21	1.41	0.68
YPR075C	OPY2		1.38	0.72	0.75	1.48
YOR372C	NDD1		0.87	1.12	0.97	1.11
YLR152C			1.62	0.55	0.55	1.65
YGL254W	FZF1		0.7	1.06	1.07	0.82
YDL034W			0.69	1.03	1.18	0.79
YKL177W			0.69	1.05	1.03	0.78
YPL058C	PDR12		2	0.49	0.66	1.72
YJL140W	RPB4		1.15	1.01	1.19	1.05
YNL063W			1.05	1.13	1.2	0.84
YLR218C			1.19	0.69	0.56	1.19
YOL021C	DIS3		0.41	2.53	2.12	0.48
YGR003W			0.66	1.27	0.97	0.84
YCLX08C			0.11	7.32	7.58	0.13
YNL129W			0.87	1.02	1.1	0.8
YER089C	PTC2		0.72	1.28	1.39	0.64
YCR094W	CDC50		1.08	0.8	0.7	1.22
YDR052C	DBF4		0.75	0.81		0.96
YKL178C	STE3		1.17			1.46
YDL035C	GPR1		0.77	1.26	1.01	0.82
YNL064C	YDJ1		1.2	1.05	1.03	1.2
YJL141C	YAK1		0.98	1.17	1.32	0.63
YMR189W	GCV2		0.34	4.38	3.34	0.31
YJL207C			1.01	0.82	0.8	0.97
YMR110C			1.09	1.01	0.99	1.29
YCR095C			1.05	0.85	0.8	1.3
YOR104W			1.52	0.59	0.61	1.4
YDR386W	MUS81		1.31	0.65	0.66	1.34
YFR047C			1.22	0.69	0.79	1.57
YBL107C			0.99	1.13	1.08	1.03
YGL255W	ZRT1		3.23	0.26	0.36	2.43
YER010C			1.2	0.89	1.02	1.08
YDR118W	APC4		0.97	0.92	0.91	0.97
YOL022C			0.63	1.58	1.33	0.69
YGR004W			0.59	1.41	1.53	0.61
YDR387C			1.47	0.69	0.67	1.37
YGL190C	CDC55		0.74	1.21	1.3	0.79
YGR273C			0.75	0.79		0.84
YKL179C			0.97	0.72	0.7	1.31
YDL036C			3.36	0.24	0.38	3.38
YBL041W	PRE7		0.97	1.23	1.08	0.96
YJL142C			1.56	0.72	0.85	1.2
YBR124W			0.6	0.9	0.75	0.92
YGR005C	TFG2		1	0.9	0.91	1.07
YPR076W			0.97	0.9	0.81	1.06
YOR373W	NUD1		0.73	1.03	0.97	0.88
YJL208C	NUC1		0.82	1.43	1.28	0.76
YMR111C			1.11	0.85	0.9	1.05
YPL059W	GRX5		0.86	1.38	1.32	0.91
YCR096C	A2		2.24	0.48	0.54	1.59
YLR219W			0.91	1.11	1.1	0.92
YCLX09W			1.57			1.43
YOR105W			1.72	0.59	0.69	1.51
YBL042C	FUI1		0.75	1.46	1.08	1.03
YBR125C	PTC4		0.57	1.62	1.49	0.56
YMR193C-A			0.88	1.15	1.01	0.78
YPR077C			1.23	0.53	0.64	1.33
YLR154C			0.55	1.77	1.63	0.65
YGL256W	ADH4		0.5	1.82	1.45	0.62
YDR119W			0.5	2.06	1.78	0.64
YNL065W			0.11	8.35	7.32	0.12
YKL100C			1.12	0.98	0.8	1.2
YGR274C	TAF145		0.76	1.38	1.32	0.87
YDR054C	CDC34		1.15	0.8	0.66	1.57
YGL257C	MNT2		1.15	0.46	1.05	0.62
YDL037C			0.34	2.65	4.32	0.24
YJR160C			1.53	0.55	0.61	1.74
YFR048W			1.33	0.64	0.74	1.67
YBL108W			1.59	0.52	0.63	1.44
YER011W	TIR1		1.19	0.51	0.65	1.03
