INAME	GENE	CHR	SIMR_UP2_191FR	SIMR_UP2_254
YBR054W	YRO2	2	0.92	0.96
iNx189I		0	0.75	1.04
iJx266I		0	0.4	0.65
iBx420I		0	0.67	1.11
YBL037W	APL3	2	0.5	1.83
iPx372I		0	1.57	0.55
YMR041C		13	1.46	0.71
YIL101C	XBP1	9	1.1	0.66
iPx438I		0	1.23	0.59
iLx515I		0	0.96	1.16
iPx104I		0	1.53	
iEx052I		0	1.47	0.58
YLR084C	RAX2	12	0.76	
YHR161C	YAP1801	8	1.16	0.52
iOx081I		0	1.43	0.56
YLL067C		12	1.51	0.99
iEx118I		0	1.01	0.88
YGR269W		7	1.55	0.54
YDR304C	CYP5	4	1.37	
YCR012W	PGK1	3	0.61	1.71
iOx147I		0	0.73	1.09
iKx224I		0	1.16	0.67
iGx301I		0	0.73	1.08
YNL316C	PHA2	14	0.38	1.67
YML024W	RPS17A	13	1.18	0.88
iDx095I		0	1.74	0.48
YMR107W		13	1.41	0.43
YGL187C	COX4	7	1.68	0.46
iJx267I		0	0.69	1.56
iBx421I		0	1.11	0.72
YCR013C		3	0.43	2.01
YBL038W	MRPL16	2	1.31	0.57
iLx450I		12	1.37	0.56
iPx373I		0	1.25	0.61
iFx010I		0	1.2	0.85
YDL221W		4	1.35	0.78
YML025C		13	2.01	0.57
YIL102C		9	1.16	0.74
iPx439I		0	0.97	0.93
iLx516I		0	0.8	1.09
YNL250W	RAD50	14	1.01	1.23
iPx105I		16	0.94	0.76
iAx130I		0	1.73	0.66
iEx053I		0	0.99	
YBL039C	URA7	2	1.43	0.71
YLR085C	ARP6	12	2.22	0.43
iOx082I		0	1.45	0.52
YDL222C		4	1.26	
iEx119I		0	1.09	1.02
YDR305C	HNT2	4	1.6	0.55
YNL251C	NRD1	14	0.91	0.61
iOx148I		0	0.68	1.27
iKx225I		0	1.74	0.38
iGx302I		0	0.79	1.18
YMR042W	ARG80	13	1.57	0.62
iDx096I		0	1.67	0.44
YMR108W	ILV2	13	1.68	0.55
YGL188C		7	1.2	0.54
YBR056W		2	0.83	0.78
iJx268I		0	1.49	0.61
iBx422I		0	0.73	0.95
YCR014C	POL4	3	0.61	1.81
iPx374I		0	1.24	1.05
iLx451I		0	1.92	0.5
iFx011I		0	1.09	1.2
YHR162W		8	0.94	1.02
iPx040I		0	1.73	0.53
YML026C	RPS18B	13	1.13	0.95
iLx517I		0	0.54	1.23
iPx106I				0.81
YNL317W	PFS2	14	0.5	1.81
YBR057C	MUM2	2	0.56	1.63
iEx054I		0	1.28	0.63
iAx131I		0	1.46	0.48
YDR240C	SNU56	4	1.87	0.49
iOx083I				0.52
iKx160I		0	0.74	1.17
YDL223C		4	1.41	1.21
YDR306C		4	1.48	0.56
YNL252C	MRPL17	14	1.42	0.88
iOx149I		0	0.51	2.32
iKx226I		0	1.07	0.8
iGx303I		0	0.56	1.66
YMR172C-A		13	1.5	0.47
YAL034W-A	MTW1	1	0.24	5.12
YNL318C	HXT14	14	0.71	1.28
YNR001C	CIT1	14	0.37	2.87
YIL103W		9	1.59	0.57
iDx097I		0	1.18	0.71
YMR109W	MYO5	13	0.39	1.45
YGL189C	RPS26A	7	1.1	0.66
iJx269I		0	1.16	0.75
iBx423I		0	0.35	2.47
YCR015C		3	1.29	0.9
iPx375I		16	0.49	1.03
iLx452I		0	1.71	0.59
iFx012I		0	1.62	0.7
YLR086W	SMC4	12	0.82	1.18
YHR163W	SOL3	8	0.31	3.2
iPx041I		0	1.28	0.8
YIL104C		9	1.38	0.62
iLx518I		0	1.65	0.66
iPx107I		0	1.94	0.45
YBR058C	UBP14	2	1.03	0.67
iGx572I		0	0.81	0.97
iEx055I		0	1.77	0.54
iAx132I		0	1.56	0.5
YLR087C		12	0.47	1.65
YHR164C	DNA2	8	0.55	1.54
iKx161I				3.12
iOx084I		0	1.31	0.48
YDL224C	WHI4	4	0.41	2.67
iKx227I		0	0.36	2.76
iGx304I		0	0.67	1.31
iMx410I		0	1.6	0.48
YMR044W		13	0.42	2.9
YNR002C	FUN34	14	0.57	1.78
iDx098I		0	0.54	2.11
YML027W	YOX1	13	0.39	2.31
iBx424I		0	0.7	1.36
YDR241W		4	1.19	0.79
iPx376I		0	1.02	1.1
iLx453I		0	1.94	0.36
iFx013I		0	1.36	0.64
YMR045C		13	0.82	2.19
iPx042I		0	1.54	0.52
YIL105C		9	0.95	0.92
iLx519I		0	1.43	0.81
YDR307W		4	1.03	1.51
YNL253W		14	1.49	0.64
iPx108I		0	1.54	0.59
YNL319W		14	0.75	1.22
YBR059C	AKL1	2	1.04	0.91
iGx573I		0	0.9	1.4
iEx056I		0	0.84	1.43
iAx133I		0	1.24	0.67
YHR165C	PRP8	8	0.96	
iOx085I		0	1.83	0.41
iKx162I		0	1.74	0.55
YDR308C	SRB7	4	0.71	1.65
YNL254C		14	1.82	0.55
YCR016W		3	0.56	1.76
iKx228I		0	0.33	2.3
iGx305I		0	0.95	1.06
iMx411I		0	1.19	0.83
YNR003C	RPC34	14	0.63	1.69
iDx099I				0.68
YML028W	TSA1	13	0.85	
iBx425I		0	1.23	0.74
YCR017C				1.21
YDR242W	AMD2	4	1.07	0.73
iPx377I		0	0.35	2.61
iLx454I		0	0.51	1.65
iFx014I		0	0.88	0.95
YLR088W	GAA1	12	1.38	0.95
YMR046C		13	1.49	1.3
YDL225W	SHS1	4	0.38	3.62
iPx043I		0	1.74	0.44
iLx120I		0	1.68	0.55
iPx109I		0	1.67	
YDL160C	DHH1	4	1.62	
iAx134I		1	0.4	
iGx574I		0	0.52	1.89
iEx057I		0	0.44	
YLR089C		12	1.11	1.13
YHR166C	CDC23	8	2.28	0.41
YDR243C	PRP28	4	1.2	0.76
iOx086I		0	1.74	0.54
iKx163I		0	1.4	0.73
iGx240I		0	1.53	0.51
YDL226C	GCS1	4	0.99	1.02
YDR309C	GIC2	4	1.27	0.82
YNL255C	GIS2	14	1.32	0.76
iKx229I		0	0.87	0.77
iGx306I		0	0.41	2.5
YIL040W		9	0.89	0.75
iMx412I		0	0.35	2.81
YIL106W	MOB1	9	0.81	1.27
YML029W		13	1.3	0.78
iBx360I		0	0.74	1.44
iBx426I		0	1.52	0.62
iPx378I		0	0.33	2.37
iLx455I		0	0.74	1.49
iFx015I		0	0.61	1.72
YMR047C	NUP116	13	1.23	0.89
iPx044I		0	1.4	0.64
iLx121I		0	1.72	0.41
YIL107C	PFK26	9	1.09	0.96
YNR004W		14	0.9	1.04
iGx575I		0	1.1	0.8
iEx058I		0	1.52	0.75
iOx087I		0	1.36	0.64
iKx164I		0	1.02	0.77
iGx241I		0	1.21	0.87
iGx307I		0	0.3	2.17
YIL041W		9	1.32	0.67
iMx413I		0	0.25	2.68
YNR005C		14	0.75	1.47
YOR230W	WTM1	15	1.77	0.55
iBx361I		0	1.28	0.57
iLx390I		0	1.27	0.66
iBx427I		0	0.91	1.22
YDL161W	ENT1	4	1.43	1
YIL042C		9	1.46	0.61
iPx379I		0	1.73	0.57
iLx456I		0	0.86	1.77
iFx016I		0	1.33	1.05
iDx610I		0	0.44	2.37
YHR167W		8	0.67	
YDR244W	PEX5	4	1.78	0.59
YNL190W		14	1.29	0.6
iPx045I		0	0.77	1.14
iLx122I		0	1.68	0.55
YNL256W	FOL1	14	1.39	0.78
iAx070I		0	0.42	
iGx576I		0	1.16	0.68
iEx059I		0	1.55	0.72
iOx088I		0	1.72	0.56
iKx165I		0	1.3	0.69
iGx242I		0	1.22	0.84
YDL228C		4	1.09	0.9
YNL257C	SIP3	14	0.66	
YCR019W	MAK32	3	0.67	1.44
iGx308I		0	0.33	3.23
iMx414I		0	1.1	0.83
YMR048W		13	0.89	1.24
YIL108W		9	0.97	1.04
YOR231W	MKK1	15	1.53	0.57
iBx362I		0	1.7	0.42
iLx391I		0	1.56	0.53
iBx428I		0	1.77	
YIL043C	CBR1	9	1.21	0.79
iLx457I		12	0.35	1.15
iFx017I		0	2.05	0.53
iDx611I		0	0.4	
YHR168W		8	1.78	0.47
YDR245W	MNN10	4	1.73	0.55
YNL191W		14	1.67	0.61
YMR049C		13	1.43	0.88
iPx046I		0	1.63	0.57
iLx123I		0	0.95	1.53
iHx200I		0	1.16	0.83
YIL109C	SEC24	9	1.1	1.27
iAx071I		0	0.73	1.52
YNR006W	VPS27	14	0.32	3.08
iGx577I		0	1.28	0.98
YAL043C-A		1	1.5	0.54
iOx089I		0	0.27	3.27
iKx166I		0	0.95	
iGx243I		0	0.43	1.82
YNL258C		14	0.88	1.14
iGx309I		0	0.6	1.15
iMx415I		0	1.28	0.78
YNR007C	AUT1	14	0.33	3.99
YOR232W	MGE1	15	1.38	0.65
iBx363I		0	1.52	0.56
YDR180W	SCC2	4	0.71	
iLx392I		0	1.42	0.6
iBx429I		0	1.11	0.85
YDL163W		4	1.43	0.63
YIL044C		9	0.58	1.7
iLx458I		0	1.15	0.57
iFx018I		0	1.95	0.52
iDx612I		0	1.07	0.95
YHR169W	DBP8	8	1.7	0.46
YNL192W	CHS1	14	1.4	0.6
YDL229W	SSB1	4	1.09	0.77
YOL150C		15	1.03	1
iPx047I		0	0.33	2.98
iLx124I		0	1.42	0.63
iHx201I		0	1.13	0.73
YJL001W	PRE3	10	0.52	2.08
iAx072I		0	0.5	1.65
YDR181C	SAS4	4	0.52	
YDL164C	CDC9	4	1.5	0.67
iGx578I		0	0.44	2.73
iKx167I				2.12
iGx244I		0	1.33	0.58
iMx350I		0	0.41	
YNL259C	ATX1	14	0.5	2.21
YJL002C	OST1	10	0.49	1.69
iMx416I		0	0.71	1.7
YOR233W	KIN4	15	0.56	1.77
iBx364I		0	1.38	0.55
iBx030I		0	1.07	0.68
iLx393I		0	0.73	1.19
iLx459I		0	0.93	1.09
iFx019I		0	1.38	0.66
iDx613I		0	1	0.98
YDR247W		4	1.15	1.14
YNL193W		14	1.93	0.43
iLx125I				0.42
iPx048I		0	1.41	0.45
iHx202I		0	1.11	
YOR234C	RPL33B	15	0.56	1.8
iAx073I		0	0.44	1.93
YNR008W	LRO1	14	0.59	1.9
iGx579I		0	1.22	0.65
YDR248C		4	0.67	1.43
YNL194C		14	1.91	0.51
iKx168I		0	1.41	0.56
iGx245I		0	1.31	0.7
iMx351I		0	1.52	0.6
YIL045W	PIG2	9	0.74	1.62
iMx417I		0	1.55	0.56
YOL151W	GRE2	15	1.14	0.72
iOx600I		0	1.23	1.2
iBx365I		0	0.84	1
iLx394I		0	1.12	0.75
iBx031I		0	0.68	2
YDR182W	CDC1	4	0.83	0.93
YDL165W	CDC36	4	1.11	0.8
iLx060I		0	0.99	0.74
iDx614I		0	0.78	1.62
iPx049I		0	1.4	0.66
iLx126I		0	1.7	0.52
iHx203I		0	0.33	3.18
YJR020W		10	1.37	0.76
YJL003W		10	0.42	2.21
iAx074I		0	0.55	2.06
YNR009W		14	0.27	2.92
iGx180I		0	0.99	1.23
YDL166C		4	1.49	0.7
YDR249C		4	1.03	1.31
YNL195C		14	1.87	0.48
iKx169I		0	1.5	0.51
iGx246I		0	0.32	3.76
YER140W		5	1.83	0.62
iMx352I		0	1.45	0.5
YJR021C	REC107	10	1.07	0.89
YIL046W	MET30	9	1.27	0.74
YJL004C	SYS1	10	0.26	4.11
iMx418I		0	1.26	0.5
YPL110C		16	1.11	0.97
iOx601I		0	1.55	0.88
YOR235W	SNR17A	15	1.4	0.49
iBx366I		0	0.67	1.44
iBx032I				1.23
iLx395I		0	1.58	0.46
YDR183W		4	0.5	1.57
iLx061I		0	1.33	0.68
YIL047C	SYG1	9	0.56	2.27
iDx615I		0	1.83	0.57
YOL153C		15	1.07	0.95
iLx127I		0	1.53	0.52
iHx204I		0	0.57	1.44
iNx310I		0	0.86	1.13
iAx075I		0	0.42	1.84
YDR184C	ATC1	4	0.92	
iGx181I		0	0.85	1.64
YDL167C	NRP1	4	0.92	1.46
YNL196C	SLZ1	14	1.78	0.58
iGx247I		0	0.87	1.03
YER141W	COX15	5	1.01	1.68
iMx353I		0	1.42	0.55
YOR170W		15	0.58	1.84
iMx419I		0	1.09	0.56
iOx602I		0	1.05	1.35
YOR236W	DFR1	15	1.21	0.62
iBx367I		0	1.65	0.56
iLx396I		0	1.76	0.62
iDx550I		0	1.07	0.87
iBx033I		0	1.55	0.46
YER142C	MAG1	5	0.55	2.11
iLx062I		0	0.25	4.22
iDx616I		0	1.69	0.57
YOR171C	LCB4	15	0.99	1.14
iHx205I		8	0.53	1.45
iLx128I		0	1.25	0.62
iNx311I				0.55
YJR022W	LSM8	10	1.24	0.86
YJL005W	CYR1	10	0.45	1.58
iAx076I		0	0.5	1.85
YDR185C		4	1.19	0.86
YPL111W	CAR1	16	0.78	1.5
iGx182I		0	0.61	1.58
YNL197C	WHI3	14	1.39	0.73
iGx248I		0	1.02	0.83
iMx354I		0	0.95	1.01
YJR023C		10	0.61	
YIL048W	NEO1	9	0.39	2.51
iMx020I		0	0.34	2.38
YJL006C	CTK2	10	0.94	0.76
YOL154W		15	1.19	0.68
YPL112C		16	1.36	0.66
iOx603I		15	0.58	2.23
YOR237W	HES1	15	1.36	0.58
iBx368I		0	1.26	0.63
YEL060C	PRB1	5	1.34	0.58
iBx034I		2	1.33	0.5
iLx397I		0	2.02	0.48
iDx551I		0	1.47	0.66
YDL168W	SFA1	4	0.75	1.59
iLx063I		0	0.91	1.3
iHx140I		0	1.61	0.6
iDx617I		0	1.98	0.54
YOL155C		15	1.43	0.76
iHx206I		8	0.7	1.18
iLx129I		0	1.34	0.77
iNx312I		0	1.55	0.67
iAx077I		0	0.65	1.51
YDR186C		4	0.85	
iGx183I		0	0.31	2.86
YDL169C	UGX2	4	0.83	1.63
YNL198C		14	1.39	0.78
iGx249I		0	1.18	0.77
YER143W	DDI1	5	0.5	2.35
iMx355I		0	1.3	0.66
YJR024C		10	0.93	1.07
YIL049W	DFG10	9	1.99	0.59
iMx021I		0	1.32	0.55
YOR172W		15	1.66	0.64
YJL007C		10	0.62	1.14
